Name,Position,High Level,Current Team,Current Status,Play Years,Draft Info,B-T,Born,Age,Debut,Debut Age,Svc Time,WAR
Archie Bradley,P,AAA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2011-1-7,R-R,8/10/92,23,null,null,0,0
Braden Shipley,P,AA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2013-1-15,R-R,2/22/92,23,null,null,0,0
Aaron Blair,P,AA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2013-1-36,R-R,5/26/92,23,null,null,0,0
Yasmany Tomas,3B,,-,-,-,Not drafted,R-R,11/14/90,24,null,null,0,0
Touki Toussaint,P,Rk,Missoula (Rk) >> Arizona Diamondbacks,Minors,2014-2014,ARI: 2014-1-16,R-R,6/20/96,19,null,null,0,0
Jake Lamb,3B,MLB,Arizona Diamondbacks,MLB-Active,2010-2014,ARI: 2012-6-213,L-R,10/9/90,24,6/10/12,22,0.053,0
Brandon Drury,3B,AA,Arizona Diamondbacks,MLB-Active,2010-2014,ATL: 2010-13-404,R-R,8/21/92,23,null,null,0,0
Peter O'Brien,C,AA,Mobile (AA) >> Arizona Diamondbacks,Minors,2009-2014,NYA: 2012-2-94,R-R,7/15/90,25,null,null,0,0
Domingo Leyba,2B,A,Arizona Diamondbacks,Minors,2013-2014,Not drafted,B-R,9/11/95,19,null,null,0,0
Nick Ahmed,SS,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ATL: 2011-2-85,R-R,3/15/90,25,6/29/14,24,0.054,-0.3
Archie Bradley,P,AAA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2011-1-7,R-R,8/10/92,23,null,null,0,0
Braden Shipley,P,AA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2013-1-15,R-R,2/22/92,23,null,null,0,0
Chris Owings,SS,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ARI: 2009-1-41,R-R,8/12/91,24,9/3/13,22,1.027,2.2
Matt Davidson,3B,MLB,Charlotte (AAA) >> Chicago White Sox,Minors (40),2009-2014,ARI: 2009-1-35,R-R,3/26/91,24,8/11/13,22,0.05,0.2
Aaron Blair,P,AA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2013-1-36,R-R,5/26/92,23,null,null,0,0
Jose Martinez,P,A,South Bend (A) >> Arizona Diamondbacks,Minors,2012-2014,Not drafted,R-R,4/14/94,21,null,null,0,0
Stryker Trahan,C,A,Hillsboro (A-) >> Arizona Diamondbacks,Minors,2012-2014,ARI: 2012-1-26,L-R,4/25/94,21,null,null,0,0
Matt Stites,P,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,SDN: 2011-17-533,R-R,5/28/90,25,6/19/14,24,0.102,-0.6
Brandon Drury,3B,AA,Arizona Diamondbacks,MLB-Active,2010-2014,ATL: 2010-13-404,R-R,8/21/92,23,null,null,0,0
Jake Lamb,3B,MLB,Arizona Diamondbacks,MLB-Active,2010-2014,ARI: 2012-6-213,L-R,10/9/90,24,6/10/12,22,0.053,0
Tyler Skaggs,P,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2009-1-40,L-L,7/13/91,24,8/22/12,21,1.066,1.5
Archie Bradley,P,AAA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2011-1-7,R-R,8/10/92,23,null,null,0,0
Adam Eaton,CF-LF,MLB,Chicago White Sox,MLB-Active,2008-2014,ARI: 2010-19-571,L-L,12/6/88,26,9/4/12,24,2.03,2.9
Matt Davidson,3B,MLB,Charlotte (AAA) >> Chicago White Sox,Minors (40),2009-2014,ARI: 2009-1-35,R-R,3/26/91,24,,,,
Didi Gregorius,SS,MLB,New York Yankees,MLB-Active,2008-2014,Not drafted,L-R,2/18/90,25,9/5/12,23,1.159,1.7
David Holmberg,P,MLB,Cincinnati Reds,MLB-Active,2009-2014,CHA: 2009-2-71,R-L,7/19/91,24,8/27/13,22,0.032,-0.9
Chris Owings,SS,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ARI: 2009-1-41,R-R,8/12/91,24,,,,
Stryker Trahan,C,A,Hillsboro (A-) >> Arizona Diamondbacks,Minors,2012-2014,ARI: 2012-1-26,L-R,4/25/94,21,null,null,0,0
Andrew Chafin,P,MLB,Arizona Diamondbacks,MLB-Active,2009-2014,ARI: 2011-1-43,L-L,6/17/90,25,8/13/14,24,0.02,0.2
A.J. Pollock,CF,MLB,Arizona Diamondbacks,MLB-Active,2007-2014,ARI: 2009-1-17,R-R,12/5/87,27,4/18/12,24,2.052,7
Trevor Bauer,P,MLB,Cleveland Indians,MLB-Active,2009-2014,ARI: 2011-1-3,R-R,1/17/91,24,6/28/12,21,0.158,1
Archie Bradley,P,AAA,Mobile (AA) >> Arizona Diamondbacks,Minors,2011-2014,ARI: 2011-1-7,R-R,8/10/92,23,null,null,0,0
Tyler Skaggs,P,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2009-1-40,L-L,7/13/91,24,,,1.066,-0.3
Jarrod Parker,P,MLB,Oakland Athletics,MLB-Active,2008-2013,ARI: 2007-1-9,R-R,11/24/88,26,9/27/11,23,3,5.1
Matt Davidson,C,RK,-,-,2003-2003,Not drafted,L-R,11/20/80,34,,,,
A.J. Pollock,CF,MLB,Arizona Diamondbacks,MLB-Active,2007-2014,ARI: 2009-1-17,R-R,12/5/87,27,,,,
