Name,Position,High Level,Current Team,Current Status,Play Years,Draft Info,B-T,Born,Age,Debut,Debut Age,Svc Time,WAR
Jose Peraza,SS,AA,Atlanta Braves,MLB-Active,2012-2014,Not drafted,R-R,4/30/94,21,null,null,0,0
Lucas Sims,P,A+,Lynchburg (A+) >> Atlanta Braves,Minors,2012-2014,ATL: 2012-1-21,R-R,5/10/94,21,null,null,0,0
Christian Bethancourt,C,MLB,Atlanta Braves,MLB-Active,2009-2014,Not drafted,R-R,9/2/91,24,9/29/13,22,0.072,-0.2
Jason Hursh,P,AA,Mississippi (AA) >> Atlanta Braves,Minors,2011-2014,ATL: 2013-1-31,R-R,10/2/91,23,null,null,0,0
Ozhaino Albies,SS,Rk,Danville (Rk) >> Atlanta Braves,Minors,2014-2014,Not drafted,B-R,1/7/97,18,null,null,0,0
Braxton Davidson,OF,Rk,Danville (Rk) >> Atlanta Braves,Minors,2014-2014,ATL: 2014-1-32,L-L,6/18/96,19,null,null,0,0
Tyrell Jenkins,P,A+,Atlanta Braves,MLB-Active,2010-2014,SLN: 2010-1-50,R-R,7/20/92,23,null,null,0,0
Johan Camargo,SS,A+,Lynchburg (A+) >> Atlanta Braves,Minors,2012-2014,Not drafted,R-R,12/13/93,21,null,null,0,0
Garrett Fulenchek,P,Rk,Gulf Coast Braves (Rk) >> Atlanta Braves,Minors,2014-2014,ATL: 2014-2-66,R-R,6/7/96,19,null,null,0,0
Kyle Kubitza,3B,AA,Los Angeles Angels,MLB-Active,2009-2014,ATL: 2011-3-115,L-R,7/15/90,25,null,null,0,0
Lucas Sims,P,A+,Lynchburg (A+) >> Atlanta Braves,Minors,2012-2014,ATL: 2012-1-21,R-R,5/10/94,21,,,,
Christian Bethancourt,C,MLB,Atlanta Braves,MLB-Active,2009-2014,Not drafted,R-R,9/2/91,24,,,,
J.R. Graham,P,AA,Minnesota Twins,MLB-Active,2009-2014,ATL: 2011-4-146,R-R,1/14/90,25,null,null,0,0
Jason Hursh,P,AA,Mississippi (AA) >> Atlanta Braves,Minors,2011-2014,ATL: 2013-1-31,R-R,10/2/91,23,,,,
Mauricio Cabrera,P,A+,Atlanta Braves,MLB-Active,2012-2014,Not drafted,R-R,9/22/93,21,null,null,0,0
Jose Peraza,SS,AA,Atlanta Braves,MLB-Active,2012-2014,Not drafted,R-R,4/30/94,21,,,,
David Hale,P,MLB,Colorado Rockies,MLB-Active,2007-2014,ATL: 2009-3-87,R-R,9/27/87,27,9/13/13,26,1.025,0.4
Victor Caratini,3B,A,Kane County (A) >> Chicago Cubs,Minors,2013-2014,ATL: 2013-2-65,B-R,8/17/93,22,null,null,0,0
Tommy La Stella,2B,MLB,Chicago Cubs,MLB-Active,2008-2014,ATL: 2011-8-266,L-R,1/31/89,26,5/28/14,25,0.124,-0.1
Sean Gilmartin,P,AAA,New York Mets,MLB-Active,2009-2014,ATL: 2011-1-28,L-L,5/8/90,25,null,null,0,0
Julio Teheran,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,1/27/91,24,5/7/11,20,2.062,5.7
J.R. Graham,P,AA,Minnesota Twins,MLB-Active,2009-2014,ATL: 2011-4-146,R-R,1/14/90,25,,,,
Christian Bethancourt,C,MLB,Atlanta Braves,MLB-Active,2009-2014,Not drafted,R-R,9/2/91,24,,,,
Sean Gilmartin,P,AAA,New York Mets,MLB-Active,2009-2014,ATL: 2011-1-28,L-L,5/8/90,25,,,,
Lucas Sims,P,A+,Lynchburg (A+) >> Atlanta Braves,Minors,2012-2014,ATL: 2012-1-21,R-R,5/10/94,21,,,,
Mauricio Cabrera,P,A+,Atlanta Braves,MLB-Active,2012-2014,Not drafted,R-R,9/22/93,21,,,,
Alex Wood,P,MLB,Atlanta Braves,MLB-Active,2010-2014,ATL: 2012-2-85,L-L,1/12/91,24,5/30/13,22,1.123,4.1
Evan Gattis,LF-C,MLB,Houston Astros,MLB-Active,2006-2014,ATL: 2010-23-704,R-R,8/18/86,29,4/3/13,27,2,3.2
Jose Peraza,SS,AA,Atlanta Braves,MLB-Active,2012-2014,Not drafted,R-R,4/30/94,21,,,,
Todd Cunningham,OF,MLB,Gwinnett (AAA) >> Atlanta Braves,Minors (40),2008-2014,ATL: 2010-2-53,B-R,3/20/89,26,7/30/13,24,0.019,-0.1
Julio Teheran,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,1/27/91,24,,,,
Arodys Vizcaino,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,11/13/90,24,8/10/11,21,2.077,0.1
Randall Delgado,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,Not drafted,R-R,2/9/90,25,6/17/11,21,2.1,1.6
Andrelton Simmons,SS,MLB,Atlanta Braves,MLB-Active,2010-2014,ATL: 2010-2-70,R-R,9/4/89,26,6/2/12,23,2.125,9.1
Sean Gilmartin,P,AAA,New York Mets,MLB-Active,2009-2014,ATL: 2011-1-28,L-L,5/8/90,25,,,,
Edward Salcedo,3B,AAA,Pittsburgh Pirates,Minors,2010-2014,Not drafted,R-R,7/30/91,24,null,null,0,0
Tyler Pastornicky,2B,MLB,Gwinnett (AAA) >> Atlanta Braves,Minors,2008-2014,TOR: 2008-5-159,R-R,12/13/89,25,4/5/12,22,1.134,-1.4
Zeke Spruill,P,MLB,Boston Red Sox,MLB-Active,2008-2014,ATL: 2008-2-70,B-R,9/11/89,25,6/21/13,24,0.042,0.2
Christian Bethancourt,C,MLB,Atlanta Braves,MLB-Active,2009-2014,Not drafted,R-R,9/2/91,24,,,,
Brandon Drury,3B,AA,Arizona Diamondbacks,MLB-Active,2010-2014,ATL: 2010-13-404,R-R,8/21/92,23,,,,
Julio Teheran,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,1/27/91,24,,,,
Freddie Freeman,1B,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2007-2-78,L-R,9/12/89,25,9/1/10,21,4.033,11.2
Randall Delgado,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,Not drafted,R-R,2/9/90,25,,,,
Mike Minor,P,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2009-1-7,R-L,12/26/87,27,8/9/10,23,3.138,6.9
Craig Kimbrel,P,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2008-3-96,R-R,5/28/88,27,5/7/10,22,4.066,11.4
Matt Lipka,OF,AA,Mississippi (AA) >> Atlanta Braves,Minors,2010-2014,ATL: 2010-1-35,R-R,4/15/92,23,null,null,0,0
Arodys Vizcaino,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,11/13/90,24,,,,
Brandon Beachy,P,MLB,Los Angeles Dodgers,60-day DL,2006-2013,Not drafted,R-R,9/3/86,29,9/20/10,24,4.014,4.8
Brett Oberholtzer,P,MLB,Houston Astros,MLB-Active,2008-2014,ATL: 2008-8-250,L-L,7/1/89,26,4/21/13,24,1.04,3.6
J.J. Hoover,P,MLB,Cincinnati Reds,MLB-Active,2008-2014,ATL: 2008-10-310,R-R,8/13/87,28,4/25/12,25,2.102,0.5
Jason Heyward,RF,MLB,St. Louis Cardinals,MLB-Active,2007-2014,ATL: 2007-1-14,L-L,8/9/89,26,4/5/10,21,5,21.4
Freddie Freeman,1B,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2007-2-78,L-R,9/12/89,25,,,,
Julio Teheran,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,1/27/91,24,,,,
Mike Minor,P,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2009-1-7,R-L,12/26/87,27,,,,
Craig Kimbrel,P,MLB,Atlanta Braves,MLB-Active,2007-2014,ATL: 2008-3-96,R-R,5/28/88,27,,,,
Christian Bethancourt,C,MLB,Atlanta Braves,MLB-Active,2009-2014,Not drafted,R-R,9/2/91,24,,,,
Randall Delgado,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,Not drafted,R-R,2/9/90,25,,,,
Zeke Spruill,P,MLB,Boston Red Sox,MLB-Active,2008-2014,ATL: 2008-2-70,B-R,9/11/89,25,,,,
Cody Johnson,OF,AAA,,Free Agent,2006-2013,ATL: 2006-1-24,L-R,8/18/88,27,null,null,0,0
Adam Milligan,LF,AA,,Free Agent,2007-2012,ATL: 2008-6-190,L-R,3/14/88,27,null,null,0,0
