Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Carlos Rodon,P,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2012-2014,CHA: 2014-1-3,L-L,12/10/92,22,null,null,0,0
Tim Anderson,SS,AA,Birmingham (AA) >> Chicago White Sox,Minors,2012-2014,CHA: 2013-1-17,R-R,6/23/93,22,null,null,0,0
Spencer Adams,P,Rk,Arizona White Sox (Rk) >> Chicago White Sox,Minors,2014-2014,CHA: 2014-2-44,R-R,4/13/96,19,null,null,0,0
Micah Johnson,2B,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2010-2014,CHA: 2012-9-291,B-R,12/18/90,24,null,null,0,0
Francellis Montas,P,AA,Chicago White Sox,MLB-Active,2012-2014,Not drafted,R-R,3/21/93,22,null,null,0,0
Andy Frakes,P,NCAA,-,-,2014-2014,Not drafted,R-R,1995--,19,null,null,0,0
Tyler Danish,P,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2013-2014,CHA: 2013-2-55,R-R,9/12/94,20,null,null,0,0
Trey Michalczewski,3B,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2013-2014,CHA: 2013-7-213,B-R,2/27/95,20,null,null,0,0
Courtney Hawkins,OF,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2012-2014,CHA: 2012-1-13,R-R,11/12/93,21,null,null,0,0
Rangel Ravelo,1B,AA,Oakland Athletics,MLB-Active,2010-2014,CHA: 2010-6-188,R-R,4/24/92,23,null,null,0,0
Jose Abreu,1B,MLB,Chicago White Sox,MLB-Active,2014-2014,Not drafted,R-R,1/29/87,28,3/31/14,27,1,5.3
Erik Johnson,P,MLB,Charlotte (AAA) >> Chicago White Sox,Minors (40),2009-2014,CHA: 2011-2-80,R-R,12/30/89,25,9/4/13,24,0.055,0.2
Tim Anderson,SS,AA,Birmingham (AA) >> Chicago White Sox,Minors,2012-2014,CHA: 2013-1-17,R-R,6/23/93,22,null,null,0,0
Matt Davidson,3B,MLB,Charlotte (AAA) >> Chicago White Sox,Minors (40),2009-2014,ARI: 2009-1-35,R-R,3/26/91,24,8/11/13,22,0.05,0.2
Marcus Semien,SS-2B,MLB,Chicago White Sox,MLB-Active,2009-2014,CHA: 2011-6-201,R-R,9/17/90,24,9/4/13,23,0.118,0.7
Micah Johnson,2B,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2010-2014,CHA: 2012-9-291,B-R,12/18/90,24,null,null,0,0
Courtney Hawkins,OF,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2012-2014,CHA: 2012-1-13,R-R,11/12/93,21,null,null,0,0
Trayce Thompson,OF,AAA,Birmingham (AA) >> Chicago White Sox,Minors (40),2009-2014,CHA: 2009-2-61,R-R,3/15/91,24,null,null,0,0
Christopher Beck,P,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2010-2014,CHA: 2012-2-76,R-R,9/4/90,25,null,null,0,0
Jacob May,OF,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2011-2014,CHA: 2013-3-91,B-R,1/23/92,23,null,null,0,0
Courtney Hawkins,OF,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2012-2014,CHA: 2012-1-13,R-R,11/12/93,21,null,null,0,0
Trayce Thompson,OF,AAA,Birmingham (AA) >> Chicago White Sox,Minors (40),2009-2014,CHA: 2009-2-61,R-R,3/15/91,24,null,null,0,0
Carlos Sanchez,C,A,Rome (A) >> Atlanta Braves,Minors,2012-2014,Not drafted,R-R,11/5/93,21,null,null,0,0
Erik Johnson,P,MLB,Charlotte (AAA) >> Chicago White Sox,Minors (40),2009-2014,CHA: 2011-2-80,R-R,12/30/89,25,,,,
Keenyn Walker,OF,AA,Winston-Salem (A+) >> Chicago White Sox,Minors,2010-2014,CHA: 2011-1-47,B-R,8/12/90,25,null,null,0,0
Scott Snodgress,P,MLB,Los Angeles Angels,Minors,2009-2014,CHA: 2011-5-171,L-L,9/20/89,25,9/3/14,25,0.029,-0.1
Andre Rienzo,P,MLB,Miami Marlins,Minors (40),2009-2014,Not drafted,R-R,6/5/88,27,7/30/13,25,0.162,-0.8
Keon Barnum,1B,A+,Winston-Salem (A+) >> Chicago White Sox,Minors,2012-2014,CHA: 2012-1-48,L-L,1/16/93,22,null,null,0,0
Jared Mitchell,OF,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2007-2014,CHA: 2009-1-23,L-L,10/13/88,26,null,null,0,0
Christopher Beck,P,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2010-2014,CHA: 2012-2-76,R-R,9/4/90,25,null,null,0,0
Addison Reed,P,MLB,Arizona Diamondbacks,MLB-Active,2008-2014,CHA: 2010-3-95,L-L,12/27/88,26,9/4/11,23,3.027,2.6
Nestor Molina,P,AAA,Boston Red Sox,Minors,2009-2014,Not drafted,R-R,1/9/89,26,null,null,0,0
Simon Castro,P,MLB,Colorado Rockies,Minors,2007-2013,Not drafted,R-R,4/9/88,27,7/5/13,25,0.004,0
Trayce Thompson,OF,AAA,Birmingham (AA) >> Chicago White Sox,Minors (40),2009-2014,CHA: 2009-2-61,R-R,3/15/91,24,null,null,0,0
Jake Petricka,P,MLB,Chicago White Sox,MLB-Active,2008-2014,CHA: 2010-2-63,R-R,6/5/88,27,8/22/13,25,1.044,0.8
Keenyn Walker,OF,AA,Winston-Salem (A+) >> Chicago White Sox,Minors,2010-2014,CHA: 2011-1-47,B-R,8/12/90,25,null,null,0,0
Jhan Marinez,P,MLB,Tampa Bay Rays,Minors,2007-2014,Not drafted,R-R,8/12/88,27,7/16/10,22,0.105,-0.2
Tyler Saladino,SS-2B,AAA,Chicago White Sox,MLB-Active,2008-2014,CHA: 2010-7-218,R-R,7/20/89,26,null,null,0,0
Juan Silverio,3B,AAA,Chicago White Sox,Minors,2008-2014,Not drafted,R-R,4/18/91,24,null,null,0,0
Osvaldo Martinez,3B,MLB,Baltimore Orioles,Minors,2006-2014,FLO: 2006-11-335,R-R,5/7/88,27,7/16/10,22,0.105,0.2
Chris Sale,P,MLB,Chicago White Sox,MLB-Active,2008-2014,CHA: 2010-1-13,L-L,3/30/89,26,8/6/10,21,4.061,17.1
Brent Morel,3B,MLB,Pittsburgh Pirates,Minors,2006-2014,CHA: 2008-3-86,R-R,4/21/87,28,9/7/10,23,2.049,-0.7
Dayan Viciedo,LF,MLB,Toronto Blue Jays,Minors,2009-2014,Not drafted,R-R,3/10/89,26,6/20/10,21,3.123,-0.1
Jared Mitchell,OF,AAA,Charlotte (AAA) >> Chicago White Sox,Minors,2007-2014,CHA: 2009-1-23,L-L,10/13/88,26,null,null,0,0
Eduardo Escobar,SS,MLB,Minnesota Twins,MLB-Active,2008-2014,Not drafted,B-R,1/5/89,26,9/2/11,23,2.128,1.5
Gregory Infante,P,MLB,New Hampshire (AA) >> Toronto Blue Jays,Minors,2007-2014,Not drafted,R-R,7/10/87,28,9/7/10,23,0.033,0
Jake Petricka,P,MLB,Chicago White Sox,MLB-Active,2008-2014,CHA: 2010-2-63,R-R,6/5/88,27,,,,
Brandon Short,OF,AAA,,Free Agent,2007-2014,CHA: 2008-28-840,R-R,9/9/88,27,null,null,0,0
