Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Kris Bryant,3B,AAA,Iowa (AAA) >> Chicago Cubs,Minors,2011-2014,CHN: 2013-1-2,R-R,1/4/92,23,null,null,0,0
Addison Russell,SS,AAA,Tennessee (AA) >> Chicago Cubs,Minors,2012-2014,OAK: 2012-1-11,R-R,1/23/94,21,null,null,0,0
Jorge Soler,RF-OF,MLB,Chicago Cubs,MLB-Active,2012-2014,Not drafted,R-R,2/25/92,23,8/27/14,23,0.033,0.7
Kyle Schwarber,C-OF,A+,Daytona (A+) >> Chicago Cubs,Minors,2012-2014,CHN: 2014-1-4,L-R,3/5/93,22,null,null,0,0
C.J. Edwards,P,AA,Chicago Cubs,MLB-Active,2012-2014,TEX: 2011-48-1464,R-R,9/3/91,24,null,null,0,0
Billy McKinney,OF,A+,Daytona (A+) >> Chicago Cubs,Minors,2013-2014,OAK: 2013-1-24,L-L,8/23/94,21,null,null,0,0
Albert Almora,OF,AA,Tennessee (AA) >> Chicago Cubs,Minors,2012-2014,CHN: 2012-1-6,R-R,4/16/94,21,null,null,0,0
Gleyber Torres,SS,A-,Boise (A-) >> Chicago Cubs,Minors,2014-2014,Not drafted,R-R,12/13/96,18,null,null,0,0
Pierce Johnson,P,AA,Tennessee (AA) >> Chicago Cubs,Minors,2010-2014,CHN: 2012-1-43,R-R,5/10/91,24,null,null,0,0
Duane Underwood,P,A,Kane County (A) >> Chicago Cubs,Minors,2012-2014,CHN: 2012-2-67,R-R,7/20/94,21,null,null,0,0
Javier Baez,SS,MLB,Chicago Cubs,MLB-Active,2011-2014,CHN: 2011-1-9,R-R,12/1/92,22,8/5/14,22,0.055,-0.8
Kris Bryant,3B,AAA,Iowa (AAA) >> Chicago Cubs,Minors,2011-2014,CHN: 2013-1-2,R-R,1/4/92,23,,,,
C.J. Edwards,P,AA,Chicago Cubs,MLB-Active,2012-2014,TEX: 2011-48-1464,R-R,9/3/91,24,,,,
Albert Almora,OF,AA,Tennessee (AA) >> Chicago Cubs,Minors,2012-2014,CHN: 2012-1-6,R-R,4/16/94,21,null,null,0,0
Jorge Soler,RF-OF,MLB,Chicago Cubs,MLB-Active,2012-2014,Not drafted,R-R,2/25/92,23,,,,
Pierce Johnson,P,AA,Tennessee (AA) >> Chicago Cubs,Minors,2010-2014,CHN: 2012-1-43,R-R,5/10/91,24,null,null,0,0
Arismendy Alcantara,SS-2B,MLB,Chicago Cubs,MLB-Active,2010-2014,Not drafted,B-R,10/29/91,23,7/9/14,23,0.082,0.2
Jeimer Candelario,3B,A+,Kane County (A) >> Chicago Cubs,Minors,2012-2014,Not drafted,B-R,11/24/93,21,null,null,0,0
Dan Vogelbach,1B,A+,Daytona (A+) >> Chicago Cubs,Minors,2011-2014,CHN: 2011-2-68,L-R,12/17/92,22,null,null,0,0
Arodys Vizcaino,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,11/13/90,24,8/10/11,21,2.077,0.1
Javier Baez,SS,MLB,Chicago Cubs,MLB-Active,2011-2014,CHN: 2011-1-9,R-R,12/1/92,22,,,,
Albert Almora,OF,AA,Tennessee (AA) >> Chicago Cubs,Minors,2012-2014,CHN: 2012-1-6,R-R,4/16/94,21,null,null,0,0
Jorge Soler,RF-OF,MLB,Chicago Cubs,MLB-Active,2012-2014,Not drafted,R-R,2/25/92,23,,,,
Arodys Vizcaino,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,11/13/90,24,,,,
Brett Jackson,OF,MLB,San Francisco Giants,Minors,2007-2014,CHN: 2009-1-31,L-R,8/2/88,27,8/5/12,24,0.077,0
Pierce Johnson,P,AA,Tennessee (AA) >> Chicago Cubs,Minors,2010-2014,CHN: 2012-1-43,R-R,5/10/91,24,null,null,0,0
Dan Vogelbach,1B,A+,Daytona (A+) >> Chicago Cubs,Minors,2011-2014,CHN: 2011-2-68,L-R,12/17/92,22,null,null,0,0
Jeimer Candelario,3B,A+,Kane County (A) >> Chicago Cubs,Minors,2012-2014,Not drafted,B-R,11/24/93,21,null,null,0,0
Kyuji Fujikawa,P,MLB,Texas Rangers,MLB-Active,2000-2014,Not drafted,L-R,7/21/80,35,4/1/13,33,2,0.1
Arismendy Alcantara,SS-2B,MLB,Chicago Cubs,MLB-Active,2010-2014,Not drafted,B-R,10/29/91,23,,,,
Brett Jackson,OF,MLB,San Francisco Giants,Minors,2007-2014,CHN: 2009-1-31,L-R,8/2/88,27,,,,
Javier Baez,SS,MLB,Chicago Cubs,MLB-Active,2011-2014,CHN: 2011-1-9,R-R,12/1/92,22,,,,
Matt Szczur,OF,MLB,Chicago Cubs,MLB-Active,2009-2014,CHN: 2010-5-160,R-R,7/20/89,26,8/17/14,25,0.043,-0.1
