Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Robert Stephenson,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2013-2014,CIN: 2011-1-27,R-R,2/24/93,22,null,null,0,0
Raisel Iglesias,P,,Cincinnati Reds,Minors (40),-,Not drafted,R-R,1/4/90,25,null,null,0,0
Jesse Winker,OF,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-49,L-L,8/17/93,22,null,null,0,0
Michael Lorenzen,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2011-2014,CIN: 2013-1-38,R-R,1/4/92,23,null,null,0,0
Nick Howard,P,A,Dayton (A) >> Cincinnati Reds,Minors,2012-2014,CIN: 2014-1-19,R-R,4/6/93,22,null,null,0,0
Anthony DeSclafani,P,MLB,Cincinnati Reds,MLB-Active,2009-2014,TOR: 2011-6-199,R-R,4/18/90,25,5/14/14,24,0.062,0.1
Amir Garrett,P,A,Cincinnati Reds,MLB-Active,2012-2014,CIN: 2011-22-685,R-L,5/3/92,23,null,null,0,0
Nick Travieso,P,A,Dayton (A) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-14,R-R,1/31/94,21,null,null,0,0
Aristides Aquino,RF-OF,Rk,Billings (Rk) >> Cincinnati Reds,Minors,2012-2014,Not drafted,R-R,4/22/94,21,null,null,0,0
Yorman Rodriguez,OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,Not drafted,R-R,8/15/92,23,9/4/14,22,0.027,-0.1
Robert Stephenson,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2013-2014,CIN: 2011-1-27,R-R,2/24/93,22,null,null,0,0
Billy Hamilton,CF-OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,CIN: 2009-2-57,R-R,9/9/90,25,9/3/13,23,1.028,4.1
Phillip Ervin,OF,A,Dayton (A) >> Cincinnati Reds,Minors,2011-2014,CIN: 2013-1-27,R-R,7/17/92,23,null,null,0,0
Jesse Winker,OF,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-49,L-L,8/17/93,22,null,null,0,0
Yorman Rodriguez,OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,Not drafted,R-R,8/15/92,23,,,,
Michael Lorenzen,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2011-2014,CIN: 2013-1-38,R-R,1/4/92,23,null,null,0,0
Carlos Contreras,P,MLB,Cincinnati Reds,MLB-Active,2010-2014,Not drafted,R-R,1/8/91,24,6/21/14,23,0.089,-0.2
Nick Travieso,P,A,Dayton (A) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-14,R-R,1/31/94,21,null,null,0,0
Ben Lively,P,AA,Philadelphia Phillies,Minors,2011-2014,CIN: 2013-4-135,R-R,3/5/92,23,null,null,0,0
Tucker Barnhart,C,MLB,Cincinnati Reds,MLB-Active,2009-2014,CIN: 2009-10-299,B-R,1/7/91,24,4/3/14,23,0.075,0
Billy Hamilton,CF-OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,CIN: 2009-2-57,R-R,9/9/90,25,,,,
Robert Stephenson,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2013-2014,CIN: 2011-1-27,R-R,2/24/93,22,null,null,0,0
Tony Cingrani,P,MLB,Louisville (AAA) >> Cincinnati Reds,Minors (40),2010-2014,CIN: 2011-3-114,L-L,7/5/89,26,9/9/12,23,1.074,1
Daniel Corcino,P,MLB,Cincinnati Reds,MLB-Active,2009-2014,Not drafted,R-R,8/26/90,25,8/26/14,24,0.034,0.2
Nick Travieso,P,A,Dayton (A) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-14,R-R,1/31/94,21,null,null,0,0
Jesse Winker,OF,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2012-2014,CIN: 2012-1-49,L-L,8/17/93,22,null,null,0,0
J.J. Hoover,P,MLB,Cincinnati Reds,MLB-Active,2008-2014,ATL: 2008-10-310,R-R,8/13/87,28,4/25/12,25,2.102,0.5
Ismael Guillon,P,A+,Bakersfield (A+) >> Cincinnati Reds,Minors,2010-2014,Not drafted,L-L,2/13/92,23,null,null,0,0
Jonathan Reynoso,OF,A,Dayton (A) >> Cincinnati Reds,Minors,2012-2014,Not drafted,R-R,1/7/93,22,null,null,0,0
Dan Langfield,P,A,Arizona Reds (Rk) >> Cincinnati Reds,Minors,2010-2014,CIN: 2012-3-109,R-R,1/21/91,24,null,null,0,0
Devin Mesoraco,C,MLB,Cincinnati Reds,MLB-Active,2007-2014,CIN: 2007-1-15,R-R,6/19/88,27,9/3/11,23,3.028,4.6
Billy Hamilton,CF-OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,CIN: 2009-2-57,R-R,9/9/90,25,,,,
Yonder Alonso,1B,MLB,San Diego Padres,MLB-Active,2006-2014,CIN: 2008-1-7,L-R,4/8/87,28,9/1/10,23,3.116,3.2
Yasmani Grandal,C,MLB,Los Angeles Dodgers,MLB-Active,2008-2014,CIN: 2010-1-12,B-R,11/8/88,26,6/2/12,24,2.115,4.1
Zack Cozart,SS,MLB,Cincinnati Reds,MLB-Active,2005-2014,CIN: 2007-2-79,R-R,8/12/85,30,7/7/11,26,3.084,6.4
Daniel Corcino,P,MLB,Cincinnati Reds,MLB-Active,2009-2014,Not drafted,R-R,8/26/90,25,,,,
Robert Stephenson,P,AA,Pensacola (AA) >> Cincinnati Reds,Minors,2013-2014,CIN: 2011-1-27,R-R,2/24/93,22,null,null,0,0
Didi Gregorius,SS,MLB,New York Yankees,MLB-Active,2008-2014,Not drafted,L-R,2/18/90,25,9/5/12,23,1.159,1.7
Todd Frazier,3B,MLB,Cincinnati Reds,MLB-Active,2005-2014,CIN: 2007-1-34,R-R,2/12/86,29,5/23/11,25,3.071,11.3
Brad Boxberger,P,MLB,Tampa Bay Rays,MLB-Active,2007-2014,CIN: 2009-1-43,R-R,5/27/88,27,6/10/12,24,1.109,0.6
Aroldis Chapman,P,MLB,Cincinnati Reds,MLB-Active,2010-2014,Not drafted,L-L,2/28/88,27,8/31/10,23,4.034,8.6
Billy Hamilton,CF-OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,CIN: 2009-2-57,R-R,9/9/90,25,,,,
Devin Mesoraco,C,MLB,Cincinnati Reds,MLB-Active,2007-2014,CIN: 2007-1-15,R-R,6/19/88,27,,,,
Yonder Alonso,1B,MLB,San Diego Padres,MLB-Active,2006-2014,CIN: 2008-1-7,L-R,4/8/87,28,,,,
Yorman Rodriguez,OF,MLB,Cincinnati Reds,MLB-Active,2009-2014,Not drafted,R-R,8/15/92,23,,,,
Yasmani Grandal,C,MLB,Los Angeles Dodgers,MLB-Active,2008-2014,CIN: 2010-1-12,B-R,11/8/88,26,,,,
Juan Francisco,1B-3B,MLB,Tampa Bay Rays,Minors,2006-2014,Not drafted,B-R,6/24/87,28,9/14/09,22,3.147,1.1
Zack Cozart,SS,MLB,Cincinnati Reds,MLB-Active,2005-2014,CIN: 2007-2-79,R-R,8/12/85,30,,,,
Todd Frazier,3B,MLB,Cincinnati Reds,MLB-Active,2005-2014,CIN: 2007-1-34,R-R,2/12/86,29,,,,
Kyle Lotzkar,P,AA,Texas Rangers,Minors,2007-2014,CIN: 2007-1-53,L-R,10/24/89,25,null,null,0,0
Todd Frazier,3B,MLB,Cincinnati Reds,MLB-Active,2005-2014,CIN: 2007-1-34,R-R,2/12/86,29,,,,
Yonder Alonso,1B,MLB,San Diego Padres,MLB-Active,2006-2014,CIN: 2008-1-7,L-R,4/8/87,28,,,,
Mike Leake,P,MLB,Cincinnati Reds,MLB-Active,2007-2014,CIN: 2009-1-8,R-R,11/12/87,27,4/11/10,22,4,6.7
Chris Heisey,LF,MLB,Los Angeles Dodgers,MLB-Active,2004-2014,CIN: 2006-17-504,R-R,12/14/84,30,5/3/10,25,4.157,6.4
Juan Francisco,1B-3B,MLB,Tampa Bay Rays,Minors,2006-2014,Not drafted,B-R,6/24/87,28,,,,
