Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Francisco Lindor,SS,AAA,Columbus (AAA) >> Cleveland Indians,Minors,2011-2014,CLE: 2011-1-8,B-R,11/14/93,21,null,null,0,0
Bradley Zimmer,CF,A,Lake County (A) >> Cleveland Indians,Minors,2012-2014,CLE: 2014-1-21,L-R,11/27/92,22,null,null,0,0
Clint Frazier,OF,A,Lake County (A) >> Cleveland Indians,Minors,2013-2014,CLE: 2013-1-5,R-R,9/6/94,21,null,null,0,0
Justus Sheffield,P,Rk,Arizona Indians (Rk) >> Cleveland Indians,Minors,2014-2014,CLE: 2014-1-31,L-L,5/13/96,19,null,null,0,0
Mike Papi,OF,A,Lake County (A) >> Cleveland Indians,Minors,2012-2014,CLE: 2014-1-38,L-R,9/19/92,22,null,null,0,0
Tyler Naquin,OF,AA,Akron (AA) >> Cleveland Indians,Minors,2010-2014,CLE: 2012-1-15,L-R,4/24/91,24,null,null,0,0
Francisco Mejia,C,A-,Mahoning Valley (A-) >> Cleveland Indians,Minors,2013-2014,Not drafted,B-R,10/27/95,19,null,null,0,0
Erik Gonzalez,3B-SS,AA,Akron (AA) >> Cleveland Indians,Minors (40),2011-2014,Not drafted,R-R,8/31/91,24,null,null,0,0
Bobby Bradley,1B,Rk,Arizona Indians (Rk) >> Cleveland Indians,Minors,2014-2014,CLE: 2014-3-97,L-R,5/29/96,19,null,null,0,0
Cody Anderson,P,AA,Cleveland Indians,MLB-Active,2010-2014,CLE: 2011-14-428,R-R,9/14/90,24,null,null,0,0
Francisco Lindor,SS,AAA,Columbus (AAA) >> Cleveland Indians,Minors,2011-2014,CLE: 2011-1-8,B-R,11/14/93,21,null,null,0,0
Clint Frazier,OF,A,Lake County (A) >> Cleveland Indians,Minors,2013-2014,CLE: 2013-1-5,R-R,9/6/94,21,null,null,0,0
Trevor Bauer,P,MLB,Cleveland Indians,MLB-Active,2009-2014,ARI: 2011-1-3,R-R,1/17/91,24,6/8/12,21,0.158,1
Tyler Naquin,OF,AA,Akron (AA) >> Cleveland Indians,Minors,2010-2014,CLE: 2012-1-15,L-R,4/24/91,24,null,null,0,0
Cody Anderson,P,AA,Cleveland Indians,MLB-Active,2010-2014,CLE: 2011-14-428,R-R,9/14/90,24,null,null,0,0
Dorssys Paulino,SS,A,Lake County (A) >> Cleveland Indians,Minors,2012-2014,Not drafted,R-R,11/21/94,20,null,null,0,0
Ronny Rodriguez,SS-2B,AA,Akron (AA) >> Cleveland Indians,Minors,2011-2014,Not drafted,R-R,4/17/92,23,null,null,0,0
C.C. Lee,P,MLB,Cleveland Indians,MLB-Active,2009-2014,Not drafted,R-R,10/21/86,28,7/14/13,27,0.136,-0.1
Jose Ramirez,2B-SS,MLB,Cleveland Indians,MLB-Active,2011-2014,Not drafted,B-R,9/17/92,22,9/1/13,21,0.115,2
Austin Adams,P,MLB,Cleveland Indians,MLB-Active,2009-2014,CLE: 2009-5-155,R-R,8/19/86,29,7/12/14,28,0.04,0
Trevor Bauer,P,MLB,Cleveland Indians,MLB-Active,2009-2014,ARI: 2011-1-3,R-R,1/17/91,24,,,,
Francisco Lindor,SS,AAA,Columbus (AAA) >> Cleveland Indians,Minors,2011-2014,CLE: 2011-1-8,B-R,11/14/93,21,null,null,0,0
Dorssys Paulino,SS,A,Lake County (A) >> Cleveland Indians,Minors,2012-2014,Not drafted,R-R,11/21/94,20,null,null,0,0
Tyler Naquin,OF,AA,Akron (AA) >> Cleveland Indians,Minors,2010-2014,CLE: 2012-1-15,L-R,4/24/91,24,null,null,0,0
Cody Allen,P,MLB,Cleveland Indians,MLB-Active,2008-2014,CLE: 2011-23-698,R-R,11/20/88,26,7/20/12,24,2.076,2.4
Mitch Brown,P,A,Lake County (A) >> Cleveland Indians,Minors,2012-2014,CLE: 2012-2-79,R-R,4/13/94,21,null,null,0,0
Danny Salazar,P,MLB,Cleveland Indians,MLB-Active,2008-2014,Not drafted,R-R,1/11/90,25,7/11/13,24,0.162,3
Luigi Rodriguez,OF,A+,Carolina (A+) >> Cleveland Indians,Minors,2011-2014,Not drafted,B-R,11/13/92,22,null,null,0,0
Ronny Rodriguez,SS-2B,AA,Akron (AA) >> Cleveland Indians,Minors,2011-2014,Not drafted,R-R,4/17/92,23,null,null,0,0
Jesus Aguilar,1B,MLB,Cleveland Indians,MLB-Active,2010-2014,Not drafted,R-R,6/30/90,25,5/15/14,24,0.044,-0.5
Francisco Lindor,SS,AAA,Columbus (AAA) >> Cleveland Indians,Minors,2011-2014,CLE: 2011-1-8,B-R,11/14/93,21,null,null,0,0
Dillon Howard,P,Rk,,Free Agent,2012-2012,CLE: 2011-2-67,R-R,7/1/92,23,null,null,0,0
Nick Hagadone,P,MLB,Cleveland Indians,MLB-Active,2005-2014,BOS: 2007-1-55,L-L,1/1/86,29,9/1/11,26,2.056,0.2
C.C. Lee,P,MLB,Cleveland Indians,MLB-Active,2009-2014,Not drafted,R-R,10/21/86,28,,,,
Luigi Rodriguez,OF,A+,Carolina (A+) >> Cleveland Indians,Minors,2011-2014,Not drafted,B-R,11/13/92,22,null,null,0,0
Zach McAllister,P,MLB,Cleveland Indians,MLB-Active,2006-2014,NYA: 2006-3-104,R-R,12/8/87,27,7/7/11,24,2.077,4.5
Tony Wolters,C,AA,Cleveland Indians,MLB-Active,2010-2014,CLE: 2010-3-87,L-R,6/9/92,23,null,null,0,0
Austin Adams,P,MLB,Cleveland Indians,MLB-Active,2009-2014,CLE: 2009-5-155,R-R,8/19/86,29,,,,
Scott Barnes,P,MLB,Toronto Blue Jays,MLB-Active,2006-2014,SFN: 2008-8-237,L-L,9/5/87,28,5/30/12,25,0.112,-0.1
Zach Putnam,P,MLB,Chicago White Sox,MLB-Active,2006-2014,CLE: 2008-5-171,R-R,7/3/87,28,9/13/11,24,1.135,0.9
