Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
David Dahl,OF,A+,Asheville (A) >> Colorado Rockies,Minors,2012-2014,COL: 2012-1-10,L-R,4/1/94,21,null,null,0,0
Jon Gray,P,AA,Tulsa (AA) >> Colorado Rockies,Minors,2011-2014,COL: 2013-1-3,R-R,11/5/91,23,null,null,0,0
Kyle Freeland,P,A,Asheville (A) >> Colorado Rockies,Minors,2012-2014,COL: 2014-1-8,L-L,5/14/93,22,null,null,0,0
Eddie Butler,P,MLB,Colorado Rockies,MLB-Active,2010-2014,COL: 2012-1-46,B-R,3/13/91,24,6/6/14,23,0.057,0
Ryan McMahon,3B,A,Asheville (A) >> Colorado Rockies,Minors,2013-2014,COL: 2013-2-42,L-R,12/14/94,20,null,null,0,0
Tom Murphy,C,AA,Tulsa (AA) >> Colorado Rockies,Minors,2010-2014,COL: 2012-3-105,R-R,4/3/91,24,null,null,0,0
Forrest Wall,2B,Rk,Grand Junction (Rk) >> Colorado Rockies,Minors,2014-2014,COL: 2014-1-35,L-R,11/20/95,19,null,null,0,0
Antonio Senzatela,P,A,Asheville (A) >> Colorado Rockies,Minors,2012-2014,Not drafted,R-R,1/21/95,20,null,null,0,0
Rosell Herrera,SS,A+,Modesto (A+) >> Colorado Rockies,Minors (40),2011-2014,Not drafted,B-R,10/16/92,22,null,null,0,0
Raimel Tapia,OF,A,Asheville (A) >> Colorado Rockies,Minors,2012-2014,Not drafted,L-L,2/4/94,21,null,null,0,0
Jon Gray,P,AA,Tulsa (AA) >> Colorado Rockies,Minors,2011-2014,COL: 2013-1-3,R-R,11/5/91,23,null,null,0,0
Eddie Butler,P,MLB,Colorado Rockies,MLB-Active,2010-2014,COL: 2012-1-46,B-R,3/13/91,24,,,,
Rosell Herrera,SS,A+,Modesto (A+) >> Colorado Rockies,Minors (40),2011-2014,Not drafted,B-R,10/16/92,22,null,null,0,0
Kyle Parker,OF,MLB,Colorado Rockies,MLB-Active,2008-2014,COL: 2010-1-26,R-R,9/30/89,25,6/16/14,25,0.038,-0.3
Chad Bettis,P,MLB,Colorado Springs (AAA) >> Colorado Rockies,Minors (40),2008-2014,COL: 2010-2-76,R-R,4/26/89,26,8/1/13,24,0.124,-0.1
David Dahl,OF,A+,Asheville (A) >> Colorado Rockies,Minors,2012-2014,COL: 2012-1-10,L-R,4/1/94,21,null,null,0,0
Tom Murphy,C,AA,Tulsa (AA) >> Colorado Rockies,Minors,2010-2014,COL: 2012-3-105,R-R,4/3/91,24,null,null,0,0
Ryan McMahon,3B,A,Asheville (A) >> Colorado Rockies,Minors,2013-2014,COL: 2013-2-42,L-R,12/14/94,20,null,null,0,0
Trevor Story,SS,AA,Tulsa (AA) >> Colorado Rockies,Minors,2011-2014,COL: 2011-1-45,R-R,11/15/92,22,null,null,0,0
Raimel Tapia,OF,A,Asheville (A) >> Colorado Rockies,Minors,2012-2014,Not drafted,L-L,2/4/94,21,null,null,0,0
Nolan Arenado,3B,MLB,Colorado Rockies,MLB-Active,2009-2014,COL: 2009-2-59,R-R,4/16/91,24,4/28/13,22,1.155,5.7
David Dahl,OF,A+,Asheville (A) >> Colorado Rockies,Minors,2012-2014,COL: 2012-1-10,L-R,4/1/94,21,null,null,0,0
Trevor Story,SS,AA,Tulsa (AA) >> Colorado Rockies,Minors,2011-2014,COL: 2011-1-45,R-R,11/15/92,22,null,null,0,0
Kyle Parker,OF,MLB,Colorado Rockies,MLB-Active,2008-2014,COL: 2010-1-26,R-R,9/30/89,25,,,,
Chad Bettis,P,MLB,Colorado Springs (AAA) >> Colorado Rockies,Minors (40),2008-2014,COL: 2010-2-76,R-R,4/26/89,26,,,,
Eddie Butler,P,MLB,Colorado Rockies,MLB-Active,2010-2014,COL: 2012-1-46,B-R,3/13/91,24,,,,
Tyler Anderson,P,AA,Colorado Rockies,MLB-Active,2009-2014,COL: 2011-1-20,L-L,12/30/89,25,null,null,0,0
Tyler Matzek,P,MLB,Colorado Rockies,MLB-Active,2010-2014,COL: 2009-1-11,L-L,10/19/90,24,6/11/14,24,0.11,2
