Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Devon Travis,2B,AA,Toronto Blue Jays,Minors,2010-2014,DET: 2012-13-424,R-R,2/21/91,24,null,null,0,0
Steven Moya,RF-OF,MLB,Detroit Tigers,MLB-Active,2010-2014,Not drafted,L-R,9/8/91,24,9/1/14,23,0.028,0
Buck Farmer,P,MLB,Detroit Tigers,MLB-Active,2010-2014,DET: 2013-5-156,L-R,2/20/91,24,8/13/14,23,0.047,-0.1
Derek Hill,OF,A-,Connecticut (A-) >> Detroit Tigers,Minors,2014-2014,DET: 2014-1-23,R-R,12/30/95,19,null,null,0,0
Domingo Leyba,2B,A,Arizona Diamondbacks,Minors,2013-2014,Not drafted,B-R,9/11/95,19,null,null,0,0
Kevin Ziomek,P,A,West Michigan (A) >> Detroit Tigers,Minors,2011-2014,DET: 2013-2-58,R-L,3/21/92,23,null,null,0,0
Robbie Ray,P,MLB,Arizona Diamondbacks,MLB-Active,2011-2014,WAS: 2010-12-356,L-L,10/1/91,23,5/6/14,23,0.055,0
Hernan Perez,2B,MLB,Detroit Tigers,MLB-Active,2009-2014,Not drafted,R-R,3/26/91,24,6/9/12,21,0.093,-0.5
James McCann,C,MLB,Detroit Tigers,MLB-Active,2009-2014,DET: 2011-2-76,B-R,6/13/90,25,8/8/11,21,0.028,-0.1
Tyler Collins,OF,MLB,Detroit Tigers,MLB-Active,2010-2014,DET: 2011-6-197,L-L,6/6/90,25,3/31/14,24,0.048,0.1
Nick Castellanos,LF-OF,MLB,Detroit Tigers,MLB-Active,2010-2014,DET: 2010-1-44,R-R,3/4/92,23,9/1/13,22,1.029,-0.7
Devon Travis,2B,AA,Toronto Blue Jays,Minors,2010-2014,DET: 2012-13-424,R-R,2/21/91,24,null,null,0,0
Bruce Rondon,P,MLB,Detroit Tigers,MLB-Active,2009-2013,Not drafted,R-R,12/9/90,24,4/25/13,22,1.103,0.4
Robbie Ray,P,MLB,Arizona Diamondbacks,MLB-Active,2011-2014,WAS: 2010-12-356,L-L,10/1/91,23,,,,
Jake Thompson,P,AA,Frisco (AA) >> Texas Rangers,Minors,2012-2014,DET: 2012-2-91,R-R,1/31/94,21,null,null,0,0
Jonathon Crawford,P,A,Boston Red Sox,Minors,2011-2014,DET: 2013-1-20,R-R,11/1/91,23,null,null,0,0
Corey Knebel,P,MLB,Milwaukee Brewers,Minors (40),2011-2014,DET: 2013-1-39,R-R,11/26/91,23,5/24/14,23,0.029,0.2
Eugenio Suarez,SS,MLB,Cincinnati Reds,MLB-Active,2011-2014,Not drafted,B-R,7/18/91,24,6/4/14,23,0.117,0.7
Domingo Leyba,2B,A,Arizona Diamondbacks,Minors,2013-2014,Not drafted,B-R,9/11/95,19,null,null,0,0
Hernan Perez,2B,MLB,Detroit Tigers,MLB-Active,2009-2014,Not drafted,R-R,3/26/91,24,,,,
Nick Castellanos,LF-OF,MLB,Detroit Tigers,MLB-Active,2010-2014,DET: 2010-1-44,R-R,3/4/92,23,,,,
Avisail Garcia,CF-RF,MLB,Chicago White Sox,MLB-Active,2009-2014,Not drafted,R-R,6/12/91,24,8/31/12,21,1.167,-0.8
Bruce Rondon,P,MLB,Detroit Tigers,MLB-Active,2009-2013,Not drafted,R-R,12/9/90,24,,,,
