Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Carlos Correa,SS,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-1-1,R-R,9/22/94,20,null,null,0,0
Mark Appel,P,AA,Corpus Christi (AA) >> Houston Astros,Minors,2010-2014,HOU: 2013-1-1,R-R,7/15/91,24,null,null,0,0
Mike Foltynewicz,P,MLB,Atlanta Braves,MLB-Active,2010-2014,HOU: 2010-1-19,R-R,10/7/91,23,8/2/14,23,0.059,0
Vincent Velasquez,P,A+,Houston Astros,MLB-Active,2010-2014,HOU: 2010-2-58,B-R,6/7/92,23,null,null,0,0
Michael Feliz,P,A,Houston Astros,MLB-Active,2011-2014,Not drafted,R-R,6/28/93,22,null,null,0,0
Brett Phillips,OF,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-6-189,L-R,5/30/94,21,null,null,0,0
Colin Moran,3B,AA,Corpus Christi (AA) >> Houston Astros,Minors,2011-2014,MIA: 2013-1-6,L-R,10/1/92,22,null,null,0,0
Rio Ruiz,3B,A+,Atlanta Braves,Minors,2012-2014,HOU: 2012-4-129,L-R,5/22/94,21,null,null,0,0
Teoscar Hernandez,OF,AA,Corpus Christi (AA) >> Houston Astros,Minors,2012-2014,Not drafted,R-R,10/15/92,22,null,null,0,0
Josh Hader,P,AA,Corpus Christi (AA) >> Houston Astros,Minors,2012-2014,BAL: 2012-19-582,L-L,4/7/94,21,null,null,0,0
Carlos Correa,SS,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-1-1,R-R,9/22/94,20,null,null,0,0
George Springer,OF,MLB,Houston Astros,MLB-Active,2009-2014,HOU: 2011-1-11,R-R,9/19/89,25,4/16/14,25,0.166,1.4
Mark Appel,P,AA,Corpus Christi (AA) >> Houston Astros,Minors,2010-2014,HOU: 2013-1-1,R-R,7/15/91,24,null,null,0,0
Mike Foltynewicz,P,MLB,Atlanta Braves,MLB-Active,2010-2014,HOU: 2010-1-19,R-R,10/7/91,23,,,,
Lance McCullers,P,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-1-41,L-R,10/2/93,21,null,null,0,0
Vincent Velasquez,P,A+,Houston Astros,MLB-Active,2010-2014,HOU: 2010-2-58,B-R,6/7/92,23,null,null,0,0
Jonathan Singleton,1B,MLB,Houston Astros,MLB-Active,2009-2014,PHI: 2009-8-257,L-L,9/18/91,23,6/3/14,23,0.119,-1.3
Domingo Santana,OF,MLB,Oklahoma City (AAA) >> Houston Astros,Minors (40),2009-2014,Not drafted,R-R,8/5/92,23,7/1/14,22,0.015,-0.5
Michael Feliz,P,A,Houston Astros,MLB-Active,2011-2014,Not drafted,R-R,6/28/93,22,null,null,0,0
Asher Wojciechowski,P,AAA,Oklahoma City (AAA) >> Houston Astros,Minors (40),2008-2014,TOR: 2010-1-41,R-R,12/21/88,26,null,null,0,0
Carlos Correa,SS,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-1-1,R-R,9/22/94,20,null,null,0,0
Jonathan Singleton,1B,MLB,Houston Astros,MLB-Active,2009-2014,PHI: 2009-8-257,L-L,9/18/91,23,,,,
George Springer,OF,MLB,Houston Astros,MLB-Active,2009-2014,HOU: 2011-1-11,R-R,9/19/89,25,,,,
Lance McCullers,P,A+,Lancaster (A+) >> Houston Astros,Minors,2012-2014,HOU: 2012-1-41,L-R,10/2/93,21,null,null,0,0
Mike Foltynewicz,P,MLB,Atlanta Braves,MLB-Active,2010-2014,HOU: 2010-1-19,R-R,10/7/91,23,,,,
Delino Deshields,2B,AA,Texas Rangers,MLB-Active,2010-2014,HOU: 2010-1-8,R-R,8/16/92,23,null,null,0,0
Jarred Cosart,P,MLB,Miami Marlins,MLB-Active,2009-2014,PHI: 2008-38-1156,R-R,5/25/90,25,7/12/13,23,1.07,2.6
Rio Ruiz,3B,A+,Atlanta Braves,Minors,2012-2014,HOU: 2012-4-129,L-R,5/22/94,21,null,null,0,0
Nick Tropeano,P,MLB,Los Angeles Angels,MLB-Active,2009-2014,HOU: 2011-5-160,R-R,8/27/90,25,9/10/14,24,0.027,0.4
Nolan Fontana,SS,AA,Corpus Christi (AA) >> Houston Astros,Minors,2010-2014,HOU: 2012-2-61,L-R,6/6/91,24,null,null,0,0
Jonathan Singleton,1B,MLB,Houston Astros,MLB-Active,2009-2014,PHI: 2009-8-257,L-L,9/18/91,23,,,,
Jarred Cosart,P,MLB,Miami Marlins,MLB-Active,2009-2014,PHI: 2008-38-1156,R-R,5/25/90,25,,,,
George Springer,OF,MLB,Houston Astros,MLB-Active,2009-2014,HOU: 2011-1-11,R-R,9/19/89,25,,,,
Jonathan Villar,SS,MLB,Houston Astros,MLB-Active,2009-2014,Not drafted,B-R,5/2/91,24,7/22/13,22,1.018,-0.5
Paul Clemens,P,MLB,Philadelphia Phillies,Minors,2007-2014,ATL: 2008-7-220,R-R,2/14/88,27,4/9/13,25,1.024,-1.5
Domingo Santana,OF,MLB,Oklahoma City (AAA) >> Houston Astros,Minors (40),2009-2014,Not drafted,R-R,8/5/92,23,,,,
Brett Oberholtzer,P,MLB,Houston Astros,MLB-Active,2008-2014,ATL: 2008-8-250,L-L,7/1/89,26,4/21/13,24,1.04,3.6
Delino Deshields,2B,AA,Texas Rangers,MLB-Active,2010-2014,HOU: 2010-1-8,R-R,8/16/92,23,null,null,0,0
Mike Foltynewicz,P,MLB,Atlanta Braves,MLB-Active,2010-2014,HOU: 2010-1-19,R-R,10/7/91,23,,,,
Telvin Nash,1B,AA,Corpus Christi (AA) >> Houston Astros,Minors,2009-2014,HOU: 2009-3-100,R-R,2/20/91,24,null,null,0,0
Jordan Lyles,P,MLB,Colorado Rockies,MLB-Active,2008-2014,HOU: 2008-1-38,R-R,10/19/90,24,5/31/11,21,3.06,3.1
Delino Deshields,2B,AA,Texas Rangers,MLB-Active,2010-2014,HOU: 2010-1-8,R-R,8/16/92,23,null,null,0,0
Jonathan Villar,SS,MLB,Houston Astros,MLB-Active,2009-2014,Not drafted,B-R,5/2/91,24,,,,
Mike Foltynewicz,P,MLB,Atlanta Braves,MLB-Active,2010-2014,HOU: 2010-1-19,R-R,10/7/91,23,,,,
Jiovanni Mier,SS,AAA,Oklahoma City (AAA) >> Houston Astros,Minors,2009-2014,HOU: 2009-1-21,R-R,8/26/90,25,null,null,0,0
