Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Raul Mondesi,SS,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,7/27/95,20,null,null,0,0
Brandon Finnegan,P,MLB,Kansas City Royals,MLB-Active,2012-2014,KCA: 2014-1-17,L-L,4/14/93,22,9/6/14,21,0.028,0.3
Sean Manaea,P,A+,Wilmington (A+) >> Kansas City Royals,Minors,2011-2014,KCA: 2013-1-34,R-L,2/1/92,23,null,null,0,0
Kyle Zimmer,P,AA,Idaho Falls (Rk) >> Kansas City Royals,Minors,2010-2014,KCA: 2012-1-5,R-R,9/13/91,23,null,null,0,0
Hunter Dozier,3B,AA,Northwest Arkansas (AA) >> Kansas City Royals,Minors,2011-2014,KCA: 2013-1-8,R-R,8/22/91,24,null,null,0,0
Miguel Almonte,P,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,4/4/93,22,null,null,0,0
Foster Griffin,P,Rk,Burlington (Rk) >> Kansas City Royals,Minors,2014-2014,KCA: 2014-1-28,R-L,7/27/95,20,null,null,0,0
Scott Blewett,P,Rk,Burlington (Rk) >> Kansas City Royals,Minors,2014-2014,KCA: 2014-2-56,R-R,4/10/96,19,null,null,0,0
Jorge Bonifacio,RF-OF,AA,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/4/93,22,null,null,0,0
Christian Colon,2B-SS,MLB,Kansas City Royals,MLB-Active,2008-2014,KCA: 2010-1-4,R-R,5/14/89,26,7/1/14,25,0.071,0.7
Kyle Zimmer,P,AA,Idaho Falls (Rk) >> Kansas City Royals,Minors,2010-2014,KCA: 2012-1-5,R-R,9/13/91,23,null,null,0,0
Yordano Ventura,P,MLB,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/3/91,24,9/17/13,22,1.013,2.8
Raul Mondesi,SS,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,7/27/95,20,null,null,0,0
Jorge Bonifacio,RF-OF,AA,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/4/93,22,null,null,0,0
Miguel Almonte,P,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,4/4/93,22,null,null,0,0
Sean Manaea,P,A+,Wilmington (A+) >> Kansas City Royals,Minors,2011-2014,KCA: 2013-1-34,R-L,2/1/92,23,null,null,0,0
Hunter Dozier,3B,AA,Northwest Arkansas (AA) >> Kansas City Royals,Minors,2011-2014,KCA: 2013-1-8,R-R,8/22/91,24,null,null,0,0
Bubba Starling,OF,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,KCA: 2011-1-5,R-R,8/3/92,23,null,null,0,0
Jason Adam,P,AAA,New Britain (AA) >> Minnesota Twins,Minors,2011-2014,KCA: 2010-5-149,R-R,8/4/91,24,null,null,0,0
Christian Binford,P,AAA,Omaha (AAA) >> Kansas City Royals,Minors,2012-2014,KCA: 2011-30-906,R-R,12/20/92,22,null,null,0,0
Kyle Zimmer,P,AA,Idaho Falls (Rk) >> Kansas City Royals,Minors,2010-2014,KCA: 2012-1-5,R-R,9/13/91,23,null,null,0,0
Bubba Starling,OF,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,KCA: 2011-1-5,R-R,8/3/92,23,null,null,0,0
Yordano Ventura,P,MLB,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/3/91,24,,,,
Jorge Bonifacio,RF-OF,AA,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/4/93,22,null,null,0,0
Raul Mondesi,SS,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,7/27/95,20,null,null,0,0
Sam Selman,P,AAA,Omaha (AAA) >> Kansas City Royals,Minors,2010-2014,KCA: 2012-2-66,R-L,11/14/90,24,null,null,0,0
Orlando Calixte,SS,AA,Kansas City Royals,MLB-Active,2011-2014,Not drafted,R-R,2/3/92,23,null,null,0,0
Jason Adam,P,AAA,New Britain (AA) >> Minnesota Twins,Minors,2011-2014,KCA: 2010-5-149,R-R,8/4/91,24,null,null,0,0
Cheslor Cuthbert,3B,AAA,Omaha (AAA) >> Kansas City Royals,Minors (40),2010-2014,Not drafted,R-R,11/16/92,22,null,null,0,0
Miguel Almonte,P,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,Not drafted,R-R,4/4/93,22,null,null,0,0
Mike Montgomery,P,AAA,Durham (AAA) >> Tampa Bay Rays,Minors (40),2008-2014,KCA: 2008-1-36,L-L,7/1/89,26,null,null,0,0
Bubba Starling,OF,A+,Wilmington (A+) >> Kansas City Royals,Minors,2012-2014,KCA: 2011-1-5,R-R,8/3/92,23,null,null,0,0
Wil Myers,RF,MLB,San Diego Padres,MLB-Active,2009-2014,KCA: 2009-3-91,R-R,12/10/90,24,6/18/13,23,1.104,2.6
Jake Odorizzi,P,MLB,Tampa Bay Rays,MLB-Active,2008-2014,MIL: 2008-1-32,R-R,3/27/90,25,9/23/12,23,1.042,2.2
Cheslor Cuthbert,3B,AAA,Omaha (AAA) >> Kansas City Royals,Minors (40),2010-2014,Not drafted,R-R,11/16/92,22,null,null,0,0
John Lamb,P,AAA,Omaha (AAA) >> Kansas City Royals,Minors (40),2009-2014,KCA: 2008-5-145,L-L,7/10/90,25,null,null,0,0
Kelvin Herrera,P,MLB,Kansas City Royals,MLB-Active,2008-2014,Not drafted,R-R,12/31/89,25,9/21/11,22,2.157,3.6
Jason Adam,P,AAA,New Britain (AA) >> Minnesota Twins,Minors,2011-2014,KCA: 2010-5-149,R-R,8/4/91,24,null,null,0,0
Chris Dwyer,P,MLB,Kansas City Royals,Minors,2009-2014,KCA: 2009-4-122,R-L,4/10/88,27,9/24/13,25,0.012,0
Yordano Ventura,P,MLB,Kansas City Royals,MLB-Active,2010-2014,Not drafted,R-R,6/3/91,24,,,,
