Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Sean Newcomb,P,A,Burlington (A) >> Los Angeles Angels,Minors,2013-2014,ANA: 2014-1-15,L-L,6/12/93,22,null,null,0,0
Ricardo Sanchez,P,Rk,Atlanta Braves,Minors,2014-2014,Not drafted,L-L,4/11/97,18,null,null,0,0
Cam Bedrosian,P,MLB,Los Angeles Angels,MLB-Active,2010-2014,ANA: 2010-1-29,R-R,10/2/91,23,6/3/14,23,0.059,0
Chris Ellis,P,Rk,Orem (Rk) >> Los Angeles Angels,Minors,2012-2014,ANA: 2014-3-88,R-R,9/22/92,22,null,null,0,0
Joe Gatto,P,Rk,Orem (Rk) >> Los Angeles Angels,Minors,2014-2014,ANA: 2014-2-53,R-R,6/14/95,20,null,null,0,0
Victor Alcantara,P,A,Burlington (A) >> Los Angeles Angels,Minors,2012-2014,Not drafted,R-R,4/3/93,22,null,null,0,0
Jairo Diaz,P,MLB,Colorado Rockies,MLB-Active,2011-2014,Not drafted,R-R,5/27/91,24,9/8/14,23,0.021,0.1
Alex Yarbrough,2B,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2010-2014,ANA: 2012-4-147,B-R,8/3/91,24,null,null,0,0
Nick Tropeano,P,MLB,Los Angeles Angels,MLB-Active,2009-2014,HOU: 2011-5-160,R-R,8/27/90,25,6/8/11,21,0.027,0.4
Kyle Mcgowin,P,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2011-2014,ANA: 2013-5-157,R-R,11/27/91,23,null,null,0,0
Taylor Lindsey,2B,AAA,San Diego Padres,MLB-Active,2010-2014,ANA: 2010-1-37,L-R,12/2/91,23,null,null,0,0
C.J. Cron,1B,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2011-1-17,R-R,1/5/90,25,5/3/14,24,0.125,0
Kaleb Cowart,3B,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2010-2014,ANA: 2010-1-18,B-R,6/2/92,23,null,null,0,0
R.J. Alvarez,P,MLB,Oakland Athletics,MLB-Active,2010-2014,ANA: 2012-3-114,R-R,6/8/91,24,9/3/14,23,0.027,0
Mark Sappington,P,AA,Tampa Bay Rays,Minors,2010-2014,ANA: 2012-5-177,R-R,11/17/90,24,null,null,0,0
Hunter Green,P,Rk,Arizona Angels (Rk) >> Los Angeles Angels,Minors,2013-2013,ANA: 2013-2-59,L-L,7/12/95,20,null,null,0,0
Ricardo Sanchez,P,Rk,Atlanta Braves,Minors,2014-2014,Not drafted,L-L,4/11/97,18,null,null,0,0
Alex Yarbrough,2B,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2010-2014,ANA: 2012-4-147,B-R,8/3/91,24,null,null,0,0
Zach Borenstein,OF,AAA,Reno (AAA) >> Arizona Diamondbacks,Minors,2009-2014,ANA: 2011-23-705,L-R,7/23/90,25,null,null,0,0
Cam Bedrosian,P,MLB,Los Angeles Angels,MLB-Active,2010-2014,ANA: 2010-1-29,R-R,10/2/91,23,,,,
Kaleb Cowart,3B,AA,Arkansas (AA) >> Los Angeles Angels,Minors,2010-2014,ANA: 2010-1-18,B-R,6/2/92,23,null,null,0,0
Nick Maronde,P,MLB,Akron (AA) >> Cleveland Indians,Minors,2009-2014,ANA: 2011-3-104,B-L,9/5/89,26,,,,
C.J. Cron,1B,MLB,Los Angeles Angels,MLB-Active,2009-2014,ANA: 2011-1-17,R-R,1/5/90,25,,,,
Michael Clevinger,P,A+,Carolina (A+) >> Cleveland Indians,Minors,2010-2014,ANA: 2011-4-135,R-R,12/21/90,24,null,null,0,0
Austin Wood,P,A+,Inland Empire (A+) >> Los Angeles Angels,Minors,2009-2014,ANA: 2011-6-195,R-R,7/11/90,25,null,null,0,0
