Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Corey Seager,SS,AA,Chattanooga (AA) >> Los Angeles Dodgers,Minors,2012-2014,LAN: 2012-1-18,L-R,4/27/94,21,null,null,0,0
Joc Pederson,OF,MLB,Los Angeles Dodgers,MLB-Active,2010-2014,LAN: 2010-11-352,L-L,4/21/92,23,9/1/14,22,0.028,0.1
Julio Urias,P,A+,Rancho Cucamonga (A+) >> Los Angeles Dodgers,Minors,2013-2014,Not drafted,L-L,8/12/96,19,null,null,0,0
Grant Holmes,P,Rk,Ogden (Rk) >> Los Angeles Dodgers,Minors,2014-2014,LAN: 2014-1-22,L-R,3/22/96,19,null,null,0,0
Alex Verdugo,OF,Rk,Ogden (Rk) >> Los Angeles Dodgers,Minors,2014-2014,LAN: 2014-2-62,L-L,5/15/96,19,null,null,0,0
Jose De Leon,P,A,Great Lakes (A) >> Los Angeles Dodgers,Minors,2011-2014,LAN: 2013-24-724,R-R,8/7/92,23,null,null,0,0
Chris Anderson,P,A+,Rancho Cucamonga (A+) >> Los Angeles Dodgers,Minors,2011-2014,LAN: 2013-1-18,R-R,7/29/92,23,null,null,0,0
Scott Schebler,OF,AA,Los Angeles Dodgers,MLB-Active,2010-2014,LAN: 2010-26-802,L-R,10/6/90,24,null,null,0,0
Chris Reed,P,AAA,Los Angeles Dodgers,MLB-Active,2009-2014,LAN: 2011-1-16,L-L,5/20/90,25,null,null,0,0
Julian Leon,C,Rk,Ogden (Rk) >> Los Angeles Dodgers,Minors,2013-2014,Not drafted,R-R,1/24/96,19,null,null,0,0
Joc Pederson,OF,MLB,Los Angeles Dodgers,MLB-Active,2010-2014,LAN: 2010-11-352,L-L,4/21/92,23,,,,
Corey Seager,SS,AA,Chattanooga (AA) >> Los Angeles Dodgers,Minors,2012-2014,LAN: 2012-1-18,L-R,4/27/94,21,null,null,0,0
Julio Urias,P,A+,Rancho Cucamonga (A+) >> Los Angeles Dodgers,Minors,2013-2014,Not drafted,L-L,8/12/96,19,null,null,0,0
Zach Lee,P,AAA,Los Angeles Dodgers,MLB-Active,2011-2014,LAN: 2010-1-28,R-R,9/13/91,23,null,null,0,0
Chris Anderson,P,A+,Rancho Cucamonga (A+) >> Los Angeles Dodgers,Minors,2011-2014,LAN: 2013-1-18,R-R,7/29/92,23,null,null,0,0
Chris Withrow,P,MLB,Los Angeles Dodgers,60-day DL,2007-2014,LAN: 2007-1-20,R-R,4/1/89,26,6/12/13,24,1.132,0
Alexander Guerrero,IF,MLB,Los Angeles Dodgers,MLB-Active,2014-2014,Not drafted,R-R,12/20/86,28,3/22/14,27,0.031,-0.2
Chris Reed,P,AAA,Los Angeles Dodgers,MLB-Active,2009-2014,LAN: 2011-1-16,L-L,5/20/90,25,null,null,0,0
Onelki Garcia,P,MLB,Chicago White Sox,MLB-Active,2012-2014,LAN: 2012-3-113,L-L,8/2/89,26,9/11/13,24,1.019,-0.2
Ross Stripling,P,AA,Los Angeles Dodgers,7-day DL,2009-2013,LAN: 2012-5-176,R-R,11/23/89,25,null,null,0,0
Hyun-Jin Ryu,P,MLB,Los Angeles Dodgers,MLB-Active,2013-2014,Not drafted,L-L,3/25/87,28,4/2/13,26,2,6.6
Yasiel Puig,RF,MLB,Los Angeles Dodgers,MLB-Active,2012-2014,Not drafted,R-R,12/7/90,24,6/3/13,23,1.119,9.1
Corey Seager,SS,AA,Chattanooga (AA) >> Los Angeles Dodgers,Minors,2012-2014,LAN: 2012-1-18,L-R,4/27/94,21,null,null,0,0
