Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Tyler Kolek,P,Rk,Gulf Coast Marlins (Rk) >> Miami Marlins,Minors,2014-2014,MIA: 2014-1-2,R-R,12/15/95,19,null,null,0,0
J.T. Realmuto,C,MLB,Miami Marlins,MLB-Active,2010-2014,FLO: 2010-3-104,R-R,3/18/91,24,null,null,0,0
Justin Nicolino,P,AA,Miami Marlins,MLB-Active,2011-2014,TOR: 2010-2-80,L-L,11/22/91,23,null,null,0,0
Jose Urena,P,AA,Jacksonville (AA) >> Miami Marlins,Minors (40),2011-2014,Not drafted,R-R,9/12/91,23,null,null,0,0
Avery Romero,2B,A+,Greensboro (A) >> Miami Marlins,Minors,2012-2014,MIA: 2012-3-104,R-R,5/11/93,22,null,null,0,0
Domingo German,P,A,New York Yankees,MLB-Active,2012-2014,Not drafted,R-R,8/4/92,23,null,null,0,0
Isael Soto,OF,Rk,Gulf Coast Marlins (Rk) >> Miami Marlins,Minors,2014-2014,Not drafted,L-L,11/2/96,18,null,null,0,0
Trevor Williams,P,AA,Jacksonville (AA) >> Miami Marlins,Minors,2011-2014,MIA: 2013-2-44,R-R,4/25/92,23,null,null,0,0
Brian Anderson,SS,A,Greensboro (A) >> Miami Marlins,Minors,2012-2014,MIA: 2014-3-76,R-R,5/19/93,22,null,null,0,0
Jarlin Garcia,P,A,Greensboro (A) >> Miami Marlins,Minors,2012-2014,Not drafted,L-L,1/18/93,22,null,null,0,0
Andrew Heaney,P,MLB,Los Angeles Angels,MLB-Active,2010-2014,MIA: 2012-1-9,L-L,6/5/91,24,6/19/14,23,0.047,-0.3
Colin Moran,3B,AA,Corpus Christi (AA) >> Houston Astros,Minors,2011-2014,MIA: 2013-1-6,L-R,10/1/92,22,null,null,0,0
Jake Marisnick,CF-OF,MLB,Houston Astros,Minors (40),2010-2014,TOR: 2009-3-104,R-R,3/30/91,24,7/23/13,22,0.145,0.6
Justin Nicolino,P,AA,Miami Marlins,MLB-Active,2011-2014,TOR: 2010-2-80,L-L,11/22/91,23,null,null,0,0
Anthony DeSclafani,P,MLB,Cincinnati Reds,MLB-Active,2009-2014,TOR: 2011-6-199,R-R,4/18/90,25,5/14/14,24,0.062,0.1
Brian Flynn,P,MLB,Kansas City Royals,MLB-Active,2009-2014,DET: 2011-7-227,L-L,4/19/90,25,9/4/13,23,0.032,-0.2
Jose Urena,P,AA,Jacksonville (AA) >> Miami Marlins,Minors (40),2011-2014,Not drafted,R-R,9/12/91,23,null,null,0,0
Adam Conley,P,AAA,Miami Marlins,MLB-Active,2009-2014,FLO: 2011-2-72,L-L,5/24/90,25,null,null,0,0
Avery Romero,2B,A+,Greensboro (A) >> Miami Marlins,Minors,2012-2014,MIA: 2012-3-104,R-R,5/11/93,22,null,null,0,0
J.T. Realmuto,C,MLB,Miami Marlins,MLB-Active,2010-2014,FLO: 2010-3-104,R-R,3/18/91,24,,,,
Jose Fernandez,P,MLB,Miami Marlins,MLB-Active,2011-2014,FLO: 2011-1-14,R-R,7/31/92,23,4/7/13,21,2,5.8
Christian Yelich,LF-OF,MLB,Miami Marlins,MLB-Active,2010-2014,FLO: 2010-1-23,L-R,12/5/91,23,7/23/13,22,1.069,5.7
Andrew Heaney,P,MLB,Los Angeles Angels,MLB-Active,2010-2014,MIA: 2012-1-9,L-L,6/5/91,24,,,,
Jake Marisnick,CF-OF,MLB,Houston Astros,Minors (40),2010-2014,TOR: 2009-3-104,R-R,3/30/91,24,,,,
Marcell Ozuna,RF-CF,MLB,Miami Marlins,MLB-Active,2009-2014,Not drafted,R-R,11/12/90,24,4/30/13,22,1.153,5.3
