Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Byron Buxton,OF,AA,New Britain (AA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-2,R-R,12/18/93,21,null,null,0,0
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
J.O. Berrios,P,AAA,Rochester (AAA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-32,R-R,5/27/94,21,null,null,0,0
Kohl Stewart,P,A,Cedar Rapids (A) >> Minnesota Twins,Minors,2013-2014,MIN: 2013-1-4,R-R,10/7/94,20,null,null,0,0
Alex Meyer,P,AAA,Minnesota Twins,MLB-Active,2009-2014,WAS: 2011-1-23,R-R,1/3/90,25,null,null,0,0
Nick Gordon,SS,Rk,Elizabethton (Rk) >> Minnesota Twins,Minors,2014-2014,MIN: 2014-1-5,L-R,10/24/95,19,null,null,0,0
Nick Burdi,P,A+,Fort Myers (A+) >> Minnesota Twins,Minors,2012-2014,MIN: 2014-2-46,R-R,1/19/93,22,null,null,0,0
Jorge Polanco,2B-SS,MLB,New Britain (AA) >> Minnesota Twins,Minors (40),2010-2014,Not drafted,B-R,7/5/93,22,6/26/14,21,0.007,0.2
Trevor May,P,MLB,Minnesota Twins,MLB-Active,2008-2014,PHI: 2008-4-136,R-R,9/23/89,25,8/9/14,25,0.051,0.2
Eddie Rosario,2B,AA,Minnesota Twins,MLB-Active,2010-2014,MIN: 2010-4-135,L-R,9/28/91,23,null,null,0,0
Byron Buxton,OF,AA,New Britain (AA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-2,R-R,12/18/93,21,null,null,0,0
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
Alex Meyer,P,AAA,Minnesota Twins,MLB-Active,2009-2014,WAS: 2011-1-23,R-R,1/3/90,25,null,null,0,0
Kohl Stewart,P,A,Cedar Rapids (A) >> Minnesota Twins,Minors,2013-2014,MIN: 2013-1-4,R-R,10/7/94,20,null,null,0,0
J.O. Berrios,P,AAA,Rochester (AAA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-32,R-R,5/27/94,21,null,null,0,0
Eddie Rosario,2B,AA,Minnesota Twins,MLB-Active,2010-2014,MIN: 2010-4-135,L-R,9/28/91,23,null,null,0,0
Lewis Thorpe,P,A,Cedar Rapids (A) >> Minnesota Twins,Minors,2013-2014,Not drafted,R-L,11/23/95,19,null,null,0,0
Trevor May,P,MLB,Minnesota Twins,MLB-Active,2008-2014,PHI: 2008-4-136,R-R,9/23/89,25,,,,
Danny Santana,SS,MLB,Minnesota Twins,MLB-Active,2009-2014,Not drafted,B-R,11/7/90,24,5/5/14,24,0.149,3.2
Jorge Polanco,2B-SS,MLB,New Britain (AA) >> Minnesota Twins,Minors (40),2010-2014,Not drafted,B-R,7/5/93,22,,,,
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
Byron Buxton,OF,AA,New Britain (AA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-2,R-R,12/18/93,21,null,null,0,0
Oswaldo Arcia,LF-RF,MLB,Minnesota Twins,MLB-Active,2009-2014,Not drafted,B-R,5/9/91,24,4/15/13,22,1.132,0.5
Alex Meyer,P,AAA,Minnesota Twins,MLB-Active,2009-2014,WAS: 2011-1-23,R-R,1/3/90,25,null,null,0,0
Kyle Gibson,P,MLB,Minnesota Twins,MLB-Active,2007-2014,MIN: 2009-1-22,R-R,10/23/87,27,6/29/13,26,1.056,2.5
Aaron Hicks,CF,MLB,Minnesota Twins,MLB-Active,2008-2014,MIN: 2008-1-14,B-R,10/2/89,25,4/1/13,24,1.067,-0.7
J.O. Berrios,P,AAA,Rochester (AAA) >> Minnesota Twins,Minors,2012-2014,MIN: 2012-1-32,R-R,5/27/94,21,null,null,0,0
Eddie Rosario,2B,AA,Minnesota Twins,MLB-Active,2010-2014,MIN: 2010-4-135,L-R,9/28/91,23,null,null,0,0
Trevor May,P,MLB,Minnesota Twins,MLB-Active,2008-2014,PHI: 2008-4-136,R-R,9/23/89,25,,,,
Max Kepler-Rozycki,OF-1B,A+,Fort Myers (A+) >> Minnesota Twins,Minors (40),2010-2014,Not drafted,L-L,2/10/93,22,null,null,0,0
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
Joe Benson,OF,MLB,Atlanta Braves,Minors,2006-2014,MIN: 2006-2-64,R-R,3/5/88,27,9/6/11,24,0.023,-0.2
Eddie Rosario,2B,AA,Minnesota Twins,MLB-Active,2010-2014,MIN: 2010-4-135,L-R,9/28/91,23,null,null,0,0
Aaron Hicks,CF,MLB,Minnesota Twins,MLB-Active,2008-2014,MIN: 2008-1-14,B-R,10/2/89,25,,,,
Oswaldo Arcia,LF-RF,MLB,Minnesota Twins,MLB-Active,2009-2014,Not drafted,B-R,5/9/91,24,,,,
Levi Michael,SS-2B,AA,New Britain (AA) >> Minnesota Twins,Minors,2009-2014,MIN: 2011-1-30,B-R,2/9/91,24,null,null,0,0
Liam Hendriks,P,MLB,Toronto Blue Jays,MLB-Active,2007-2014,Not drafted,R-R,2/10/89,26,9/6/11,23,1.038,0.4
Kyle Gibson,P,MLB,Minnesota Twins,MLB-Active,2007-2014,MIN: 2009-1-22,R-R,10/23/87,27,,,,
Chris Parmelee,RF-1B,MLB,Baltimore Orioles,Minors,2006-2014,MIN: 2006-1-20,L-L,2/24/88,27,9/6/11,24,2.058,0.3
Brian Dozier,2B,MLB,Minnesota Twins,MLB-Active,2006-2014,MIN: 2009-8-252,R-R,5/15/87,28,5/7/12,25,2.1,6.8
Kyle Gibson,P,MLB,Minnesota Twins,MLB-Active,2007-2014,MIN: 2009-1-22,R-R,10/23/87,27,,,,
Aaron Hicks,CF,MLB,Minnesota Twins,MLB-Active,2008-2014,MIN: 2008-1-14,B-R,10/2/89,25,,,,
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
Joe Benson,OF,MLB,Atlanta Braves,Minors,2006-2014,MIN: 2006-2-64,R-R,3/5/88,27,,,,
Ben Revere,CF,MLB,Philadelphia Phillies,MLB-Active,2007-2014,MIN: 2007-1-28,L-R,5/3/88,27,9/7/10,22,3.149,7.3
Liam Hendriks,P,MLB,Toronto Blue Jays,MLB-Active,2007-2014,Not drafted,R-R,2/10/89,26,,,,
Alex Wimmers,P,AA,New Britain (AA) >> Minnesota Twins,Minors,2008-2014,MIN: 2010-1-21,L-R,11/1/88,26,null,null,0,0
Adrian Salcedo,P,AA,New Britain (AA) >> Minnesota Twins,Minors,2009-2014,Not drafted,R-R,2/5/91,24,null,null,0,0
Oswaldo Arcia,LF-RF,MLB,Minnesota Twins,MLB-Active,2009-2014,Not drafted,B-R,5/9/91,24,,,,
Carlos Gutierrez,P,AAA,,Free Agent,2008-2013,MIN: 2008-1-27,R-R,9/22/86,28,null,null,0,0
Aaron Hicks,CF,MLB,Minnesota Twins,MLB-Active,2008-2014,MIN: 2008-1-14,B-R,10/2/89,25,,,,
Wilson Ramos,C,MLB,Washington Nationals,MLB-Active,2006-2014,Not drafted,R-R,8/10/87,28,5/2/10,23,4.047,7.6
Kyle Gibson,P,MLB,Minnesota Twins,MLB-Active,2007-2014,MIN: 2009-1-22,R-R,10/23/87,27,,,,
Miguel Sano,3B,AA,Minnesota Twins,MLB-Active,2010-2013,Not drafted,R-R,5/11/93,22,null,null,0,0
Ben Revere,CF,MLB,Philadelphia Phillies,MLB-Active,2007-2014,MIN: 2007-1-28,L-R,5/3/88,27,,,,
Danny Valencia,3B-DH,MLB,Toronto Blue Jays,MLB-Active,2004-2014,MIN: 2006-19-576,R-R,9/19/84,30,6/3/10,26,3.118,2
Carlos Gutierrez,P,AAA,,Free Agent,2008-2013,MIN: 2008-1-27,R-R,9/22/86,28,null,null,0,0
Angel Morales,OF,AA,,Free Agent,2007-2014,MIN: 2007-3-122,R-R,11/24/89,25,null,null,0,0
David Bromberg,P,AAA,Mississippi (AA) >> Atlanta Braves,Minors,2006-2014,MIN: 2005-32-975,L-R,9/14/87,27,null,null,0,0
