Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Luis Severino,P,AA,Trenton (AA) >> New York Yankees,Minors,2012-2014,Not drafted,R-R,2/20/94,21,null,null,0,0
Aaron Judge,P-OF,A+,Tampa (A+) >> New York Yankees,Minors,2011-2014,NYA: 2013-1-32,R-R,4/26/92,23,null,null,0,0
Jorge Mateo,SS,Rk,Gulf Coast Yankees (Rk) >> New York Yankees,Minors,2012-2014,Not drafted,R-R,6/23/95,20,null,null,0,0
Greg Bird,1B,AA,Trenton (AA) >> New York Yankees,Minors,2011-2014,NYA: 2011-5-179,L-R,11/9/92,22,null,null,0,0
Gary Sanchez,C,AA,Trenton (AA) >> New York Yankees,Minors (40),2010-2014,Not drafted,R-R,12/2/92,22,null,null,0,0
Ian Clarkin,P,A+,Tampa (A+) >> New York Yankees,Minors,2013-2014,NYA: 2013-1-33,L-L,2/14/95,20,null,null,0,0
Rob Refsnyder,2B,AAA,Scranton/Wilkes-Barre (AAA) >> New York Yankees,Minors,2010-2014,NYA: 2012-5-187,R-R,3/26/91,24,null,null,0,0
Jacob Lindgren,P,AA,Trenton (AA) >> New York Yankees,Minors,2012-2014,NYA: 2014-2-55,L-L,3/12/93,22,null,null,0,0
Luis Torrens,C,A,Staten Island (A-) >> New York Yankees,Minors,2013-2014,Not drafted,R-R,5/2/96,19,null,null,0,0
Miguel Andujar,3B,A,Charleston (sc) (A) >> New York Yankees,Minors,2012-2014,Not drafted,R-R,3/2/95,20,null,null,0,0
Gary Sanchez,C,AA,Trenton (AA) >> New York Yankees,Minors (40),2010-2014,Not drafted,R-R,12/2/92,22,null,null,0,0
Slade Heathcott,OF,AA,New York Yankees,Minors,2009-2014,NYA: 2009-1-29,L-L,9/28/90,24,null,null,0,0
Mason Williams,OF,AA,New York Yankees,MLB-Active,2010-2014,NYA: 2010-4-145,L-R,8/21/91,24,null,null,0,0
J.R. Murphy,C,MLB,New York Yankees,MLB-Active,2005-2014,TEX: 2005-38-1149,R-R,2/23/86,29,9/2/13,28,0.12,0.1
Eric Jagielo,3B,A+,Tampa (A+) >> New York Yankees,Minors,2011-2014,NYA: 2013-1-26,L-R,5/17/92,23,null,null,0,0
Aaron Judge,P-OF,A+,Tampa (A+) >> New York Yankees,Minors,2011-2014,NYA: 2013-1-32,R-R,4/26/92,23,null,null,0,0
Ian Clarkin,P,A+,Tampa (A+) >> New York Yankees,Minors,2013-2014,NYA: 2013-1-33,L-L,2/14/95,20,null,null,0,0
Sikes Orvis,1B,NCAA,-,-,2012-2015,BOS: 2011-19-592,L-R,11/12/92,22,null,null,0,0
Luis Severino,P,AA,Trenton (AA) >> New York Yankees,Minors,2012-2014,Not drafted,R-R,2/20/94,21,null,null,0,0
Gosuke Katoh,2B,A,Charleston (sc) (A) >> New York Yankees,Minors,2013-2014,NYA: 2013-2-66,L-R,10/8/94,20,null,null,0,0
Mason Williams,OF,AA,New York Yankees,MLB-Active,2010-2014,NYA: 2010-4-145,L-R,8/21/91,24,null,null,0,0
Slade Heathcott,OF,AA,New York Yankees,Minors,2009-2014,NYA: 2009-1-29,L-L,9/28/90,24,null,null,0,0
Gary Sanchez,C,AA,Trenton (AA) >> New York Yankees,Minors (40),2010-2014,Not drafted,R-R,12/2/92,22,null,null,0,0
Tyler Austin,RF-OF,AA,New York Yankees,MLB-Active,2010-2014,NYA: 2010-13-415,R-R,9/6/91,24,null,null,0,0
Jose Campos,P,RK,-,-,2009-2009,Not drafted,R-R,8/18/90,25,null,null,0,0
Brett Marshall,P,MLB,Colorado Rockies,Minors,2008-2014,NYA: 2008-6-200,R-R,3/22/90,25,5/15/13,23,0.116,-0.2
Angelo Gumbs,2B,A+,Tampa (A+) >> New York Yankees,Minors,2010-2014,NYA: 2010-2-82,R-R,10/13/92,22,null,null,0,0
Manny Banuelos,P,AAA,Atlanta Braves,Minors (40),2008-2014,Not drafted,L-L,3/13/91,24,null,null,0,0
Ty Hensley,P,A-,Staten Island (A-) >> New York Yankees,Minors,2012-2014,NYA: 2012-1-30,B-R,7/30/93,22,null,null,0,0
Rafael De Paula,P,A+,Lake Elsinore (A+) >> San Diego Padres,Minors,2012-2014,Not drafted,R-R,3/24/91,24,null,null,0,0
Jesus Montero,C,MLB,Tacoma (AAA) >> Seattle Mariners,Minors (40),2007-2014,Not drafted,R-R,11/29/89,25,9/1/11,22,1.096,-0.2
Manny Banuelos,P,AAA,Atlanta Braves,Minors (40),2008-2014,Not drafted,L-L,3/13/91,24,null,null,0,0
Dellin Betances,P,MLB,New York Yankees,MLB-Active,2006-2014,NYA: 2006-8-254,R-R,3/23/88,27,9/22/11,24,1.078,3.2
Gary Sanchez,C,AA,Trenton (AA) >> New York Yankees,Minors (40),2010-2014,Not drafted,R-R,12/2/92,22,null,null,0,0
Mason Williams,OF,AA,New York Yankees,MLB-Active,2010-2014,NYA: 2010-4-145,L-R,8/21/91,24,null,null,0,0
Dante Bichette,3B,AA,Trenton (AA) >> New York Yankees,Minors,2011-2014,NYA: 2011-1-51,R-R,9/26/92,22,null,null,0,0
Ravel Santana,CF,A-,,Free Agent,2011-2014,Not drafted,R-R,5/1/92,23,null,null,0,0
Austin Romine,C,MLB,New York Yankees,MLB-Active,2007-2014,NYA: 2007-2-94,R-R,11/22/88,26,9/11/11,23,2.007,-0.4
J.R. Murphy,C,MLB,New York Yankees,MLB-Active,2005-2014,TEX: 2005-38-1149,R-R,2/23/86,29,,,,
Slade Heathcott,OF,AA,New York Yankees,Minors,2009-2014,NYA: 2009-1-29,L-L,9/28/90,24,null,null,0,0
Jesus Montero,C,MLB,Tacoma (AAA) >> Seattle Mariners,Minors (40),2007-2014,Not drafted,R-R,11/29/89,25,,,,
Gary Sanchez,C,AA,Trenton (AA) >> New York Yankees,Minors (40),2010-2014,Not drafted,R-R,12/2/92,22,null,null,0,0
Dellin Betances,P,MLB,New York Yankees,MLB-Active,2006-2014,NYA: 2006-8-254,R-R,3/23/88,27,,,,
Manny Banuelos,P,AAA,Atlanta Braves,Minors (40),2008-2014,Not drafted,L-L,3/13/91,24,null,null,0,0
Andrew Brackman,P,MLB,,Free Agent,2005-2013,NYA: 2007-1-30,R-R,12/4/85,29,9/22/11,26,0.003,0
Austin Romine,C,MLB,New York Yankees,MLB-Active,2007-2014,NYA: 2007-2-94,R-R,11/22/88,26,,,,
Hector Noesi,P,MLB,Chicago White Sox,MLB-Active,2006-2014,Not drafted,R-R,1/26/87,28,5/18/11,24,3.006,0.1
Eduardo Nunez,SS,MLB,Minnesota Twins,MLB-Active,2005-2014,Not drafted,B-R,6/15/87,28,8/19/10,23,3.09,-1.9
Slade Heathcott,OF,AA,New York Yankees,Minors,2009-2014,NYA: 2009-1-29,L-L,9/28/90,24,null,null,0,0
Brandon Laird,3B,MLB,,Int,2006-2014,NYA: 2007-27-844,R-R,9/11/87,28,7/22/11,24,0.109,-0.3
Jesus Montero,C,MLB,Tacoma (AAA) >> Seattle Mariners,Minors (40),2007-2014,Not drafted,R-R,11/29/89,25,,,,
Austin Romine,C,MLB,New York Yankees,MLB-Active,2007-2014,NYA: 2007-2-94,R-R,11/22/88,26,,,,
Arodys Vizcaino,P,MLB,Atlanta Braves,MLB-Active,2008-2014,Not drafted,R-R,11/13/90,24,8/11/11,21,2.077,0.1
