Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Noah Syndergaard,P,AAA,New York Mets,MLB-Active,2010-2014,TOR: 2010-1-38,L-R,8/29/92,23,null,null,0,0
Steve Matz,P,AA,Binghamton (AA) >> New York Mets,Minors (40),2012-2014,NYN: 2009-2-72,R-L,5/29/91,24,null,null,0,0
Brandon Nimmo,OF,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-13,L-R,3/27/93,22,null,null,0,0
Dilson Herrera,2B,MLB,New York Mets,MLB-Active,2012-2014,Not drafted,R-R,3/3/94,21,8/29/14,20.50410959,0.031,0.2
Kevin Plawecki,C,AAA,Las Vegas (AAA) >> New York Mets,Minors,2010-2014,NYN: 2012-1-35,R-R,2/26/91,24,null,null,0,0
Amed Rosario,SS,A,Brooklyn (A-) >> New York Mets,Minors,2013-2014,Not drafted,R-R,11/20/95,19,null,null,0,0
Michael Conforto,OF-IF,A-,Brooklyn (A-) >> New York Mets,Minors,2012-2014,NYN: 2014-1-10,L-R,3/1/93,22,null,null,0,0
Rafael Montero,P,MLB,New York Mets,MLB-Active,2011-2014,Not drafted,R-R,10/17/90,24,5/14/14,23.5890411,0.051,-0.3
Marcos Molina,P,A-,Brooklyn (A-) >> New York Mets,Minors,2012-2014,Not drafted,R-R,3/8/95,20,null,null,0,0
Gavin Cecchini,SS,AA,Binghamton (AA) >> New York Mets,Minors,2012-2014,NYN: 2012-1-12,R-R,12/22/93,21,null,null,0,0
Noah Syndergaard,P,AAA,New York Mets,MLB-Active,2010-2014,TOR: 2010-1-38,L-R,8/29/92,23,null,null,0,0
Travis D'Arnaud,C,MLB,New York Mets,MLB-Active,2007-2014,PHI: 2007-1-37,R-R,2/10/89,26,8/17/13,24.53150685,1.044,1.4
Rafael Montero,P,MLB,New York Mets,MLB-Active,2011-2014,Not drafted,R-R,10/17/90,24,,,,
Dominic Smith,1B,A,Savannah (A) >> New York Mets,Minors,2013-2014,NYN: 2013-1-11,L-L,6/15/95,20,null,null,0,0
Kevin Plawecki,C,AAA,Las Vegas (AAA) >> New York Mets,Minors,2010-2014,NYN: 2012-1-35,R-R,2/26/91,24,null,null,0,0
Wilmer Flores,2B,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,8/6/91,24,8/6/13,22.01643836,1.003,1.2
Amed Rosario,SS,A,Brooklyn (A-) >> New York Mets,Minors,2013-2014,Not drafted,R-R,11/20/95,19,null,null,0,0
Brandon Nimmo,OF,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-13,L-R,3/27/93,22,null,null,0,0
Gavin Cecchini,SS,AA,Binghamton (AA) >> New York Mets,Minors,2012-2014,NYN: 2012-1-12,R-R,12/22/93,21,null,null,0,0
Jacob DeGrom,P,MLB,New York Mets,MLB-Active,2008-2014,NYN: 2010-9-272,L-R,6/19/88,27,5/15/14,25.92054795,0.139,3
Zack Wheeler,P,MLB,New York Mets,MLB-Active,2010-2014,SFN: 2009-1-6,R-R,5/30/90,25,6/18/13,23.06849315,1.098,2.4
Travis D'Arnaud,C,MLB,New York Mets,MLB-Active,2007-2014,PHI: 2007-1-37,R-R,2/10/89,26,,,,
Noah Syndergaard,P,AAA,New York Mets,MLB-Active,2010-2014,TOR: 2010-1-38,L-R,8/29/92,23,null,null,0,0
Gavin Cecchini,SS,AA,Binghamton (AA) >> New York Mets,Minors,2012-2014,NYN: 2012-1-12,R-R,12/22/93,21,null,null,0,0
Brandon Nimmo,OF,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-13,L-R,3/27/93,22,null,null,0,0
Luis Mateo,P,AA,Brooklyn (A-) >> New York Mets,Minors,2012-2014,Not drafted,R-R,3/22/90,25,null,null,0,0
Rafael Montero,P,MLB,New York Mets,MLB-Active,2011-2014,Not drafted,R-R,10/17/90,24,,,,
Wilmer Flores,2B,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,8/6/91,24,,,,
Michael Fulmer,P,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-44,R-R,3/15/93,22,null,null,0,0
Jeurys Familia,P,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,10/10/89,25,9/4/12,22.91780822,2.03,0.2
Zack Wheeler,P,MLB,New York Mets,MLB-Active,2010-2014,SFN: 2009-1-6,R-R,5/30/90,25,,,,
Matt Harvey,P,MLB,New York Mets,MLB-Active,2008-2013,NYN: 2010-1-7,R-R,3/27/89,26,7/26/12,23.34794521,2.072,7.1
Brandon Nimmo,OF,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-13,L-R,3/27/93,22,null,null,0,0
Jeurys Familia,P,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,10/10/89,25,,,,
Cesar Puello,OF,AAA,Las Vegas (AAA) >> New York Mets,Minors (40),2008-2014,Not drafted,R-R,4/1/91,24,null,null,0,0
Jenrry Mejia,P,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,10/11/89,25,4/7/10,20.50136986,2.14,0.5
Kirk Nieuwenhuis,OF,MLB,New York Mets,MLB-Active,2008-2014,NYN: 2008-3-100,L-R,8/7/87,28,4/7/12,24.68493151,1.123,2
Michael Fulmer,P,AA,Binghamton (AA) >> New York Mets,Minors,2011-2014,NYN: 2011-1-44,R-R,3/15/93,22,null,null,0,0
Reese Havens,3B-2B,AAA,,Retired,2006-2013,NYN: 2008-1-22,L-R,10/20/86,28,null,null,0,0
Wilmer Flores,2B,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,8/6/91,24,,,,
Jenrry Mejia,P,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,10/11/89,25,,,,
Wilmer Flores,2B,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,8/6/91,24,,,,
Cesar Puello,OF,AAA,Las Vegas (AAA) >> New York Mets,Minors (40),2008-2014,Not drafted,R-R,4/1/91,24,null,null,0,0
Matt Harvey,P,MLB,New York Mets,MLB-Active,2008-2013,NYN: 2010-1-7,R-R,3/27/89,26,,,,
Kirk Nieuwenhuis,OF,MLB,New York Mets,MLB-Active,2008-2014,NYN: 2008-3-100,L-R,8/7/87,28,,,,
Reese Havens,3B-2B,AAA,,Retired,2006-2013,NYN: 2008-1-22,L-R,10/20/86,28,null,null,0,0
Lucas Duda,LF-1B,MLB,New York Mets,MLB-Active,2005-2014,NYN: 2007-7-243,L-R,2/3/86,29,9/1/10,24.59178082,3.137,2.2
Fernando Martinez,OF,MLB,,Free Agent,2006-2013,Not drafted,L-R,10/10/88,26,5/26/09,20.63835616,0.15,-0.7
Aderlin Rodriguez,3B,A+,St. Lucie (A+) >> New York Mets,Minors,2009-2014,Not drafted,R-R,11/18/91,23,null,null,0,0
Brad Holt,P,AAA,,Free Agent,2006-2014,NYN: 2008-1-33,R-R,10/13/86,28,null,null,0,0
Jenrry Mejia,P,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,10/11/89,25,,,,
Wilmer Flores,2B,MLB,New York Mets,MLB-Active,2008-2014,Not drafted,R-R,8/6/91,24,,,,
Fernando Martinez,OF,MLB,,Free Agent,2006-2013,Not drafted,L-R,10/10/88,26,,,,
Ike Davis,1B,MLB,Oakland Athletics,MLB-Active,2006-2014,NYN: 2008-1-18,L-L,3/22/87,28,4/19/10,23.09315068,4.155,5.8
Brad Holt,P,AAA,,Free Agent,2006-2014,NYN: 2008-1-33,R-R,10/13/86,28,null,null,0,0
Jon Niese,P,MLB,New York Mets,MLB-Active,2005-2014,NYN: 2005-7-209,L-L,10/27/86,28,9/2/08,21.86575342,5.107,9.8
Reese Havens,3B-2B,AAA,,Retired,2006-2013,NYN: 2008-1-22,L-R,10/20/86,28,null,null,0,0
Josh Thole,C,MLB,Toronto Blue Jays,MLB-Active,2005-2014,NYN: 2005-13-389,L-R,10/28/86,28,9/3/09,22.86575342,4.085,1.8
Ruben Tejada,SS,MLB,New York Mets,MLB-Active,2007-2014,Not drafted,R-R,10/27/89,25,4/7/10,20.45753425,3.171,3.8
Juan Urbina,P,A-,,Free Agent,2010-2014,Not drafted,L-L,5/31/93,22,null,null,0,0
