Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Daniel Robertson,SS,A+,Tampa Bay Rays,Minors,2012-2014,OAK: 2012-1-34,R-R,3/22/94,21,null,null,0,0
Franklin Barreto,SS,A-,Oakland Athletics,Minors,2013-2014,Not drafted,R-R,2/27/96,19,null,null,0,0
Matt Olson,1B,A+,Stockton (A+) >> Oakland Athletics,Minors,2012-2014,OAK: 2012-1-47,L-R,3/29/94,21,null,null,0,0
Matt Chapman,IF,AA,Beloit (A) >> Oakland Athletics,Minors,2012-2014,OAK: 2014-1-25,R-R,4/28/93,22,null,null,0,0
Renato Nunez,3B,A+,Oakland Athletics,MLB-Active,2012-2014,Not drafted,R-R,4/4/94,21,null,null,0,0
Kendall Graveman,P,MLB,Oakland Athletics,MLB-Active,2010-2014,TOR: 2013-8-235,R-R,12/21/90,24,9/5/14,24,0.029,0.1
Sean Nolin,P,MLB,Oakland Athletics,MLB-Active,2010-2014,TOR: 2010-6-186,L-L,12/26/89,25,5/24/13,23,0.028,-0.2
Dillon Overton,P,A-,Vermont (A-) >> Oakland Athletics,Minors,2011-2014,OAK: 2013-2-63,L-L,8/17/91,24,null,null,0,0
Raul Alcantara,P,AA,Midland (AA) >> Oakland Athletics,Minors (40),2011-2014,Not drafted,R-R,12/4/92,22,null,null,0,0
Chad Pinder,SS,A+,Stockton (A+) >> Oakland Athletics,Minors,2011-2014,OAK: 2013-2-71,R-R,3/29/92,23,null,null,0,0
Addison Russell,SS,AAA,Tennessee (AA) >> Chicago Cubs,Minors,2012-2014,OAK: 2012-1-11,R-R,1/23/94,21,null,null,0,0
Billy McKinney,OF,A+,Daytona (A+) >> Chicago Cubs,Minors,2013-2014,OAK: 2013-1-24,L-L,8/23/94,21,null,null,0,0
Raul Alcantara,P,AA,Midland (AA) >> Oakland Athletics,Minors (40),2011-2014,Not drafted,R-R,12/4/92,22,null,null,0,0
Michael Ynoa,P,A+,Chicago White Sox,Minors (40),2010-2014,Not drafted,R-R,9/24/91,23,null,null,0,0
Renato Nunez,3B,A+,Oakland Athletics,MLB-Active,2012-2014,Not drafted,R-R,4/4/94,21,null,null,0,0
Max Muncy,1B,AA,Midland (AA) >> Oakland Athletics,Minors,2010-2014,OAK: 2012-5-169,L-R,8/25/90,25,null,null,0,0
Dylan Covey,P,A+,Stockton (A+) >> Oakland Athletics,Minors,2011-2014,OAK: 2013-4-131,R-R,8/14/91,24,null,null,0,0
Bobby Wahl,P,A+,Stockton (A+) >> Oakland Athletics,Minors,2011-2014,OAK: 2013-5-161,R-R,3/21/92,23,null,null,0,0
Daniel Robertson,SS,A+,Tampa Bay Rays,Minors,2012-2014,OAK: 2012-1-34,R-R,3/22/94,21,null,null,0,0
Nolan Sanburn,P,A+,Chicago White Sox,Minors,2011-2014,OAK: 2012-2-74,R-R,7/21/91,24,null,null,0,0
