Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
J.P. Crawford,SS,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2013-2014,PHI: 2013-1-16,L-R,1/11/95,20,null,null,0,0
Aaron Nola,P,AA,Reading (AA) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2014-1-7,R-R,6/4/93,22,null,null,0,0
Maikel Franco,3B,MLB,Philadelphia Phillies,MLB-Active,2010-2014,Not drafted,R-R,8/26/92,23,9/2/14,22,0.027,-0.2
Roman Quinn,SS,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2011-2-66,R-R,5/14/93,22,null,null,0,0
Carlos Tocci,OF,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,Not drafted,R-R,8/23/95,20,null,null,0,0
Aaron Brown,RF,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2014-3-81,L-L,6/20/92,23,null,null,0,0
Matt Imhof,P,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2014-2-47,L-L,10/26/93,21,null,null,0,0
Jesmuel Valentin,2B,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2012-2014,LAN: 2012-1-51,B-R,5/12/94,21,null,null,0,0
Yoel Mecias,P,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,Not drafted,L-L,10/11/93,21,null,null,0,0
Franklyn Kilome,P,Rk,Gulf Coast Phillies (Rk) >> Philadelphia Phillies,Minors,2014-2014,Not drafted,R-R,6/25/95,20,null,null,0,0
Maikel Franco,3B,MLB,Philadelphia Phillies,MLB-Active,2010-2014,Not drafted,R-R,8/26/92,23,,,,
Jesse Biddle,P,AA,Philadelphia Phillies,MLB-Active,2010-2014,PHI: 2010-1-27,L-L,10/22/91,23,null,null,0,0
J.P. Crawford,SS,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2013-2014,PHI: 2013-1-16,L-R,1/11/95,20,null,null,0,0
Miguel Gonzalez,P,MLB,Philadelphia Phillies,MLB-Active,2014-2014,Not drafted,R-R,9/23/86,28,9/3/14,28,0.122,-0.1
Roman Quinn,SS,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2011-2-66,R-R,5/14/93,22,null,null,0,0
Carlos Tocci,OF,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,Not drafted,R-R,8/23/95,20,null,null,0,0
Ethan Martin,P,MLB,Lehigh Valley (AAA) >> Philadelphia Phillies,Minors (40),2009-2014,LAN: 2008-1-15,R-R,6/6/89,26,8/2/13,24,0.128,-0.5
Cesar Hernandez,2B,MLB,Philadelphia Phillies,MLB-Active,2009-2014,Not drafted,B-R,5/23/90,25,5/29/13,23,0.154,-0.9
Aaron Altherr,OF,MLB,Reading (AA) >> Philadelphia Phillies,Minors (40),2009-2014,PHI: 2009-9-287,R-R,1/14/91,24,6/16/14,23,0.006,-0.1
Severino Gonzalez,P,AA,Reading (AA) >> Philadelphia Phillies,Minors,2013-2014,Not drafted,R-R,9/28/92,22,null,null,0,0
Jesse Biddle,P,AA,Philadelphia Phillies,MLB-Active,2010-2014,PHI: 2010-1-27,L-L,10/22/91,23,null,null,0,0
Roman Quinn,SS,A+,Clearwater (A+) >> Philadelphia Phillies,Minors,2012-2014,PHI: 2011-2-66,R-R,5/14/93,22,null,null,0,0
Tommy Joseph,C,AAA,Gulf Coast Phillies (Rk) >> Philadelphia Phillies,Minors (40),2010-2014,SFN: 2009-2-55,R-R,7/16/91,24,null,null,0,0
Jonathan Pettibone,P,MLB,Lehigh Valley (AAA) >> Philadelphia Phillies,Minors (40),2008-2014,PHI: 2008-3-110,L-R,7/19/90,25,4/22/13,23,0.168,0.5
Adam Morgan,P,AAA,Philadelphia Phillies,MLB-Active,2009-2013,PHI: 2011-3-120,L-L,2/27/90,25,null,null,0,0
Ethan Martin,P,MLB,Lehigh Valley (AAA) >> Philadelphia Phillies,Minors (40),2009-2014,LAN: 2008-1-15,R-R,6/6/89,26,,,,
Cody Asche,3B,MLB,Philadelphia Phillies,MLB-Active,2009-2014,PHI: 2011-4-151,L-R,6/30/90,25,7/30/13,23,1.062,0.4
Maikel Franco,3B,MLB,Philadelphia Phillies,MLB-Active,2010-2014,Not drafted,R-R,8/26/92,23,,,,
Darin Ruf,LF-OF,MLB,Philadelphia Phillies,MLB-Active,2006-2014,PHI: 2009-20-617,R-R,7/28/86,29,9/14/12,26,1.066,1
Carlos Tocci,OF,A,Lakewood (A) >> Philadelphia Phillies,Minors,2012-2014,Not drafted,R-R,8/23/95,20,null,null,0,0
Trevor May,P,MLB,Minnesota Twins,MLB-Active,2008-2014,PHI: 2008-4-136,R-R,9/23/89,25,8/9/14,25,0.051,0.2
Jesse Biddle,P,AA,Philadelphia Phillies,MLB-Active,2010-2014,PHI: 2010-1-27,L-L,10/22/91,23,null,null,0,0
Sebastian Valle,C,AAA,Pittsburgh Pirates,Minors,2008-2014,Not drafted,L-R,7/24/90,25,null,null,0,0
