Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Tyler Glasnow,P,A+,Bradenton (A+) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-5-152,L-R,8/23/93,22,null,null,0,0
Jameson Taillon,P,AAA,Pittsburgh Pirates,MLB-Active,2011-2013,PIT: 2010-1-2,R-R,11/18/91,23,null,null,0,0
Austin Meadows,OF,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2013-2014,PIT: 2013-1-9,L-L,5/3/95,20,null,null,0,0
Josh Bell,RF-OF,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-2-61,B-R,8/14/92,23,null,null,0,0
Reese McGuire,C,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2013-2014,PIT: 2013-1-14,L-R,3/2/95,20,null,null,0,0
Nick Kingham,P,AAA,Pittsburgh Pirates,MLB-Active,2010-2014,PIT: 2010-4-117,R-R,11/8/91,23,null,null,0,0
Alen Hanson,SS,AA,Altoona (AA) >> Pittsburgh Pirates,Minors (40),2011-2014,Not drafted,B-R,10/22/92,22,null,null,0,0
Cole Tucker,SS,Rk,Gulf Coast Pirates (Rk) >> Pittsburgh Pirates,Minors,2014-2014,PIT: 2014-1-24,B-R,7/3/96,19,null,null,0,0
Mitch Keller,P,Rk,Gulf Coast Pirates (Rk) >> Pittsburgh Pirates,Minors,2014-2014,PIT: 2014-2-64,R-R,4/4/96,19,null,null,0,0
Harold Ramirez,OF,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2012-2014,Not drafted,R-R,9/6/94,21,null,null,0,0
Gregory Polanco,OF,MLB,Pittsburgh Pirates,MLB-Active,2010-2014,Not drafted,L-L,9/14/91,23,6/10/14,23,0.103,0.2
Jameson Taillon,P,AAA,Pittsburgh Pirates,MLB-Active,2011-2013,PIT: 2010-1-2,R-R,11/18/91,23,null,null,0,0
Tyler Glasnow,P,A+,Bradenton (A+) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-5-152,L-R,8/23/93,22,null,null,0,0
Austin Meadows,OF,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2013-2014,PIT: 2013-1-9,L-L,5/3/95,20,null,null,0,0
Nick Kingham,P,AAA,Pittsburgh Pirates,MLB-Active,2010-2014,PIT: 2010-4-117,R-R,11/8/91,23,null,null,0,0
Alen Hanson,SS,AA,Altoona (AA) >> Pittsburgh Pirates,Minors (40),2011-2014,Not drafted,B-R,10/22/92,22,null,null,0,0
Josh Bell,RF-OF,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-2-61,B-R,8/14/92,23,null,null,0,0
Reese McGuire,C,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2013-2014,PIT: 2013-1-14,L-R,3/2/95,20,null,null,0,0
Harold Ramirez,OF,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2012-2014,Not drafted,R-R,9/6/94,21,null,null,0,0
Luis Heredia,P,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2011-2014,Not drafted,R-R,8/10/94,21,null,null,0,0
Gerrit Cole,P,MLB,Pittsburgh Pirates,MLB-Active,2009-2014,PIT: 2011-1-1,R-R,9/8/90,25,6/11/13,23,1.111,4.5
Jameson Taillon,P,AAA,Pittsburgh Pirates,MLB-Active,2011-2013,PIT: 2010-1-2,R-R,11/18/91,23,null,null,0,0
Luis Heredia,P,A,West Virginia (A) >> Pittsburgh Pirates,Minors,2011-2014,Not drafted,R-R,8/10/94,21,null,null,0,0
Gregory Polanco,OF,MLB,Pittsburgh Pirates,MLB-Active,2010-2014,Not drafted,L-L,9/14/91,23,,,,
Alen Hanson,SS,AA,Altoona (AA) >> Pittsburgh Pirates,Minors (40),2011-2014,Not drafted,B-R,10/22/92,22,null,null,0,0
Josh Bell,RF-OF,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-2-61,B-R,8/14/92,23,null,null,0,0
Kyle McPherson,P,MLB,,Free Agent,2007-2013,PIT: 2007-14-428,R-R,11/11/87,27,8/20/12,25,0,0
Justin Wilson,P,MLB,New York Yankees,MLB-Active,2006-2014,PIT: 2008-5-144,L-L,8/18/87,28,8/20/12,25,2.035,0.7
Barrett Barnes,OF,A+,Bradenton (A+) >> Pittsburgh Pirates,Minors,2010-2014,PIT: 2012-1-45,R-R,7/29/91,24,null,null,0,0
Clay Holmes,P,A,Pittsburgh Pirates,Minors,2012-2013,PIT: 2011-9-272,R-R,3/27/93,22,null,null,0,0
Gerrit Cole,P,MLB,Pittsburgh Pirates,MLB-Active,2009-2014,PIT: 2011-1-1,R-R,9/8/90,25,,,,
Jameson Taillon,P,AAA,Pittsburgh Pirates,MLB-Active,2011-2013,PIT: 2010-1-2,R-R,11/18/91,23,null,null,0,0
Josh Bell,RF-OF,AA,Altoona (AA) >> Pittsburgh Pirates,Minors,2012-2014,PIT: 2011-2-61,B-R,8/14/92,23,null,null,0,0
Starling Marte,LF,MLB,Pittsburgh Pirates,MLB-Active,2009-2014,Not drafted,R-R,10/9/88,26,7/26/12,24,2.07,9.7
