Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Matt Wisler,P,AAA,El Paso (AAA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-7-233,R-R,9/12/92,22,null,null,0,0
Trea Turner,SS,A,Washington Nationals,Minors,2012-2014,SDN: 2014-1-13,R-R,6/30/93,22,null,null,0,0
Hunter Renfroe,RF-OF,AA,San Antonio (AA) >> San Diego Padres,Minors,2011-2014,SDN: 2013-1-13,R-R,1/28/92,23,null,null,0,0
Austin Hedges,C,AA,San Antonio (AA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-2-82,R-R,8/18/92,23,null,null,0,0
Cory Spangenberg,2B,MLB,San Diego Padres,MLB-Active,2010-2014,SDN: 2011-1-10,L-R,3/16/91,24,9/1/14,23.47945205,0.028,0
Rymer Liriano,RF,MLB,San Diego Padres,MLB-Active,2009-2014,Not drafted,R-R,6/20/91,24,8/11/14,23.15890411,0.049,-0.5
Fernando Perez,3B,A,Fort Wayne (A) >> San Diego Padres,Minors,2012-2014,SDN: 2012-3-102,L-R,9/13/93,21,null,null,0,0
Michael Gettys,OF,Rk,Arizona Padres (Rk) >> San Diego Padres,Minors,2014-2014,SDN: 2014-2-51,R-R,10/22/95,19,null,null,0,0
Jose Rondon,SS,A+,Lake Elsinore (A+) >> San Diego Padres,Minors,2012-2014,Not drafted,R-R,3/3/94,21,null,null,0,0
Casey Kelly,P,MLB,San Diego Padres,MLB-Active,2008-2014,BOS: 2008-1-30,R-R,10/4/89,25,8/27/12,22.91232877,2.038,-0.1
Austin Hedges,C,AA,San Antonio (AA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-2-82,R-R,8/18/92,23,null,null,0,0
Matt Wisler,P,AAA,El Paso (AAA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-7-233,R-R,9/12/92,22,null,null,0,0
Max Fried,P,A,Atlanta Braves,Minors,2012-2014,SDN: 2012-1-7,L-L,1/18/94,21,null,null,0,0
Hunter Renfroe,RF-OF,AA,San Antonio (AA) >> San Diego Padres,Minors,2011-2014,SDN: 2013-1-13,R-R,1/28/92,23,null,null,0,0
Casey Kelly,P,MLB,San Diego Padres,MLB-Active,2008-2014,BOS: 2008-1-30,R-R,10/4/89,25,,,,
Rymer Liriano,RF,MLB,San Diego Padres,MLB-Active,2009-2014,Not drafted,R-R,6/20/91,24,,,,
Jace Peterson,SS,MLB,Atlanta Braves,MLB-Active,2009-2014,SDN: 2011-1-58,L-R,5/9/90,25,4/25/14,23.97808219,0.058,-0.6
Burch Smith,P,MLB,Tampa Bay Rays,Minors (40),2009-2014,SDN: 2011-14-443,R-R,4/12/90,25,5/11/13,23.09589041,0.051,-0.4
Keyvius Sampson,P,AAA,El Paso (AAA) >> San Diego Padres,Minors (40),2009-2014,SDN: 2009-4-114,R-R,1/6/91,24,null,null,0,0
Joe Ross,P,AA,Washington Nationals,Minors,2011-2014,SDN: 2011-1-25,R-R,5/21/93,22,null,null,0,0
Casey Kelly,P,MLB,San Diego Padres,MLB-Active,2008-2014,BOS: 2008-1-30,R-R,10/4/89,25,,,,
Max Fried,P,A,Atlanta Braves,Minors,2012-2014,SDN: 2012-1-7,L-L,1/18/94,21,null,null,0,0
Jedd Gyorko,2B,MLB,San Diego Padres,MLB-Active,2008-2014,SDN: 2010-2-59,R-R,9/23/88,26,4/1/13,24.5369863,2,2.5
Austin Hedges,C,AA,San Antonio (AA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-2-82,R-R,8/18/92,23,null,null,0,0
Rymer Liriano,RF,MLB,San Diego Padres,MLB-Active,2009-2014,Not drafted,R-R,6/20/91,24,,,,
Matt Wisler,P,AAA,El Paso (AAA) >> San Diego Padres,Minors,2011-2014,SDN: 2011-7-233,R-R,9/12/92,22,null,null,0,0
Cory Spangenberg,2B,MLB,San Diego Padres,MLB-Active,2010-2014,SDN: 2011-1-10,L-R,3/16/91,24,,,,
Joe Wieland,P,MLB,Los Angeles Dodgers,MLB-Active,2008-2014,TEX: 2008-4-123,R-R,1/21/90,25,4/14/12,22.24383562,2.161,-0.4
Adys Portillo,P,AA,San Antonio (AA) >> San Diego Padres,Minors,2009-2014,Not drafted,R-R,12/20/91,23,null,null,0,0
Robbie Erlin,P,MLB,San Diego Padres,MLB-Active,2009-2014,TEX: 2009-3-93,L-L,10/8/90,24,4/30/13,22.57534247,1.057,1.1
Anthony Rizzo,1B,MLB,Chicago Cubs,MLB-Active,2007-2014,BOS: 2007-6-204,L-L,8/8/89,26,6/9/11,21.84931507,2.168,8.5
Rymer Liriano,RF,MLB,San Diego Padres,MLB-Active,2009-2014,Not drafted,R-R,6/20/91,24,,,,
Casey Kelley,1B,A,-,-,1996-2000,ANA: 1998-18-541,L-R,11/4/76,38,null,null,0,0
Cory Spangenberg,2B,MLB,San Diego Padres,MLB-Active,2010-2014,SDN: 2011-1-10,L-R,3/16/91,24,,,,
Austin Hedges,C,A-,-,-,2010-2013,Not drafted,R-R,5/31/90,25,null,null,0,0
Jedd Gyorko,2B,MLB,San Diego Padres,MLB-Active,2008-2014,SDN: 2010-2-59,R-R,9/23/88,26,,,,
Joe Wieland,P,MLB,Los Angeles Dodgers,MLB-Active,2008-2014,TEX: 2008-4-123,R-R,1/21/90,25,,,,
Robbie Erlin,P,MLB,San Diego Padres,MLB-Active,2009-2014,TEX: 2009-3-93,L-L,10/8/90,24,,,,
Joe Ross,P,AA,Washington Nationals,Minors,2011-2014,SDN: 2011-1-25,R-R,5/21/93,22,null,null,0,0
Keyvius Sampson,P,AAA,El Paso (AAA) >> San Diego Padres,Minors (40),2009-2014,SDN: 2009-4-114,R-R,1/6/91,24,null,null,0,0
Casey Kelly,P,MLB,San Diego Padres,MLB-Active,2008-2014,BOS: 2008-1-30,R-R,10/4/89,25,,,,
Anthony Rizzo,1B,MLB,Chicago Cubs,MLB-Active,2007-2014,BOS: 2007-6-204,L-L,8/8/89,26,,,,
Simon Castro,P,MLB,Colorado Rockies,Minors,2007-2013,Not drafted,R-R,4/9/88,27,7/5/13,25.25479452,0.01,0
Reymond Fuentes,OF,MLB,Kansas City Royals,Minors,2009-2014,BOS: 2009-1-28,L-L,2/12/91,24,8/26/13,22.55068493,0.035,-0.1
Matt Lollis,P,AAA,Montgomery (AA) >> Tampa Bay Rays,Minors,2009-2014,SDN: 2009-15-444,R-R,9/11/90,24,null,null,0,0
Cory Luebke,P,MLB,San Diego Padres,MLB-Active,2005-2012,SDN: 2007-1-63,R-L,3/4/85,30,9/3/10,25.51780822,4.033,3
Jaff Decker,OF,MLB,Indianapolis (AAA) >> Pittsburgh Pirates,Minors (40),2008-2014,SDN: 2008-1-42,L-L,2/23/90,25,6/20/13,23.3369863,0.032,-0.3
Donavan Tate,OF,A+,San Diego Padres,Minors,2010-2013,SDN: 2009-1-3,R-R,9/27/90,24,null,null,0,0
Drew Cumberland,SS,AA,-,-,2007-2010,SDN: 2007-1-46,L-R,1/13/89,26,null,null,0,0
Jason Hagerty,C,AAA,San Antonio (AA) >> San Diego Padres,Minors,2007-2014,SDN: 2009-5-144,R-R,9/13/87,27,null,null,0,0
Donavan Tate,OF,A+,San Diego Padres,Minors,2010-2013,SDN: 2009-1-3,R-R,9/27/90,24,null,null,0,0
Simon Castro,P,MLB,Colorado Rockies,Minors,2007-2013,Not drafted,R-R,4/9/88,27,,,,
James Darnell,OF,MLB,,Free Agent,2006-2013,SDN: 2008-2-69,R-R,1/19/87,28,8/9/11,24.56986301,0.025,-0.3
Jaff Decker,OF,MLB,Indianapolis (AAA) >> Pittsburgh Pirates,Minors (40),2008-2014,SDN: 2008-1-42,L-L,2/23/90,25,,,,
Logan Forsythe,2B,MLB,Tampa Bay Rays,MLB-Active,2006-2014,SDN: 2008-1-46,R-R,1/14/87,28,5/4/11,24.31780822,3.113,1.4
Cory Luebke,P,MLB,San Diego Padres,MLB-Active,2005-2012,SDN: 2007-1-63,R-L,3/4/85,30,,,,
Wynn Pelzer,P,AAA,-,-,2005-2014,SDN: 2007-9-297,R-R,6/23/86,29,null,null,0,0
Everett Williams,OF,AA,,Free Agent,2009-2014,SDN: 2009-2-52,L-R,10/1/90,24,null,null,0,0
Edinson Rincon,OF,AA,,Free Agent,2007-2014,Not drafted,R-R,8/11/90,25,null,null,0,0
Aaron Poreda,P,MLB,,Int,2005-2014,CHA: 2007-1-25,L-L,10/1/86,28,6/12/09,22.71232877,0.139,0.2
