Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Andrew Susac,C,MLB,San Francisco Giants,MLB-Active,2010-2014,SFN: 2011-2-86,R-R,3/22/90,25,7/26/14,24,0.065,0.8
Willy Adames,SS,A,Bowling Green (A) >> Tampa Bay Rays,Minors,2013-2014,Not drafted,R-R,9/2/95,20,null,null,0,0
Tyler Beede,P,A-,Salem-Keizer (A-) >> San Francisco Giants,Minors,2012-2014,SFN: 2014-1-14,R-R,5/23/93,22,null,null,0,0
Kyle Crick,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-1-49,L-R,11/30/92,22,null,null,0,0
Keury Mella,P,A,Salem-Keizer (A-) >> San Francisco Giants,Minors,2012-2014,Not drafted,R-R,8/2/93,22,null,null,0,0
Clayton Blackburn,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-16-507,L-R,1/6/93,22,null,null,0,0
Adalberto Mejia,P,AAA,Richmond (AA) >> San Francisco Giants,Minors,2012-2014,Not drafted,L-L,6/20/93,22,null,null,0,0
Ty Blach,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2010-2014,SFN: 2012-5-178,R-L,10/20/90,24,null,null,0,0
Hunter Strickland,P,MLB,San Francisco Giants,MLB-Active,2007-2014,BOS: 2007-18-564,R-R,9/24/88,26,9/1/14,26,0.028,0.2
Matt Duffy,SS,MLB,San Francisco Giants,MLB-Active,2010-2014,SFN: 2012-18-568,R-R,1/15/91,24,8/1/14,24,0.059,0
Christian Arroyo,SS,A,Salem-Keizer (A-) >> San Francisco Giants,Minors,2013-2014,SFN: 2013-1-25,R-R,5/30/95,20,null,null,0,0
Kyle Crick,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-1-49,L-R,11/30/92,22,null,null,0,0
Edwin Escobar,P,MLB,Boston Red Sox,MLB-Active,2009-2014,Not drafted,L-L,4/22/92,23,8/27/14,22,0.016,0
Chris Stratton,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2010-2014,SFN: 2012-1-20,R-R,8/22/90,25,null,null,0,0
Adalberto Mejia,P,AAA,Richmond (AA) >> San Francisco Giants,Minors,2012-2014,Not drafted,L-L,6/20/93,22,null,null,0,0
Mac Williamson,RF-OF,A+,San Jose (A+) >> San Francisco Giants,Minors,2010-2014,SFN: 2012-3-115,R-R,7/15/90,25,null,null,0,0
Christian Arroyo,SS,A,Salem-Keizer (A-) >> San Francisco Giants,Minors,2013-2014,SFN: 2013-1-25,R-R,5/30/95,20,null,null,0,0
Heath Hembree,P,MLB,Boston Red Sox,MLB-Active,2008-2014,SFN: 2010-5-168,R-R,1/13/89,26,9/3/13,25,0.048,0.2
Ty Blach,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2010-2014,SFN: 2012-5-178,R-L,10/20/90,24,null,null,0,0
Joe Panik,2B,MLB,San Francisco Giants,MLB-Active,2009-2014,SFN: 2011-1-29,L-R,10/30/90,24,6/21/14,24,0.1,1.6
Clayton Blackburn,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-16-507,L-R,1/6/93,22,null,null,0,0
Kyle Crick,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-1-49,L-R,11/30/92,22,null,null,0,0
Joe Panik,2B,MLB,San Francisco Giants,MLB-Active,2009-2014,SFN: 2011-1-29,L-R,10/30/90,24,,,,
Chris Stratton,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2010-2014,SFN: 2012-1-20,R-R,8/22/90,25,null,null,0,0
Gary Brown,OF,MLB,San Francisco Giants,MLB-Active,2008-2014,SFN: 2010-1-24,R-R,9/28/88,26,9/3/14,26,0.027,0.3
Mike Kickham,P,MLB,Seattle Mariners,MLB-Active,2010-2014,DET: 2011-33-1007,R-R,12/12/88,26,5/28/13,24,0.087,-0.6
Clayton Blackburn,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-16-507,L-R,1/6/93,22,null,null,0,0
Heath Hembree,P,MLB,Boston Red Sox,MLB-Active,2008-2014,SFN: 2010-5-168,R-R,1/13/89,26,,,,
Francisco Peguero,OF,MLB,,Free Agent,2008-2014,Not drafted,R-R,6/1/88,27,8/25/12,24,1.001,0.4
Roger Kieschnick,OF,MLB,Los Angeles Angels,Minors,2006-2014,SFN: 2008-3-82,L-R,1/21/87,28,7/21/13,27,0.103,-0.8
Adalberto Mejia,P,AAA,Richmond (AA) >> San Francisco Giants,Minors,2012-2014,Not drafted,L-L,6/20/93,22,null,null,0,0
Gary Brown,OF,MLB,San Francisco Giants,MLB-Active,2008-2014,SFN: 2010-1-24,R-R,9/28/88,26,,,,
Tommy Joseph,C,AAA,Gulf Coast Phillies (Rk) >> Philadelphia Phillies,Minors (40),2010-2014,SFN: 2009-2-55,R-R,7/16/91,24,null,null,0,0
Heath Hembree,P,MLB,Boston Red Sox,MLB-Active,2008-2014,SFN: 2010-5-168,R-R,1/13/89,26,,,,
Joe Panik,2B,MLB,San Francisco Giants,MLB-Active,2009-2014,SFN: 2011-1-29,L-R,10/30/90,24,,,,
Francisco Peguero,OF,MLB,,Free Agent,2008-2014,Not drafted,R-R,6/1/88,27,,,,
Andrew Susac,C,MLB,San Francisco Giants,MLB-Active,2010-2014,SFN: 2011-2-86,R-R,3/22/90,25,,,,
Eric Surkamp,P,MLB,Chicago White Sox,MLB-Active,2006-2014,SFN: 2008-6-177,L-L,7/16/87,28,8/27/11,24,2.032,-0.5
Kyle Crick,P,AA,Richmond (AA) >> San Francisco Giants,Minors,2011-2014,SFN: 2011-1-49,L-R,11/30/92,22,null,null,0,0
Ehire Adrianza,SS,MLB,San Francisco Giants,MLB-Active,2008-2014,Not drafted,B-R,8/21/89,26,9/8/13,24,1.027,0.3
Hector Sanchez,C,MLB,San Francisco Giants,MLB-Active,2009-2014,Not drafted,B-R,11/17/89,25,7/15/11,22,2.166,0.2
Brandon Belt,1B,MLB,San Francisco Giants,MLB-Active,2007-2014,SFN: 2009-5-147,L-L,4/20/88,27,3/31/11,23,3.128,7.1
Zack Wheeler,P,MLB,New York Mets,MLB-Active,2010-2014,SFN: 2009-1-6,R-R,5/30/90,25,6/18/13,23,1.098,2.4
Gary Brown,OF,MLB,San Francisco Giants,MLB-Active,2008-2014,SFN: 2010-1-24,R-R,9/28/88,26,,,,
Francisco Peguero,OF,MLB,,Free Agent,2008-2014,Not drafted,R-R,6/1/88,27,,,,
Ehire Adrianza,SS,MLB,San Francisco Giants,MLB-Active,2008-2014,Not drafted,B-R,8/21/89,26,,,,
Brandon Crawford,SS,MLB,San Francisco Giants,MLB-Active,2006-2014,SFN: 2008-4-117,L-R,1/21/87,28,5/27/11,24,3.094,7.1
Thomas Neal,OF,MLB,,Free Agent,2006-2014,SFN: 2005-36-1092,R-R,8/17/87,28,9/2/12,25,0.105,-0.6
Charlie Culberson,LF,MLB,Colorado Rockies,MLB-Active,2007-2014,SFN: 2007-1-51,R-R,4/10/89,26,5/13/12,23,1.074,-1.2
Eric Surkamp,P,MLB,Chicago White Sox,MLB-Active,2006-2014,SFN: 2008-6-177,L-L,7/16/87,28,,,,
Tommy Joseph,C,AAA,Gulf Coast Phillies (Rk) >> Philadelphia Phillies,Minors (40),2010-2014,SFN: 2009-2-55,R-R,7/16/91,24,null,null,0,0
Buster Posey,C,MLB,San Francisco Giants,MLB-Active,2006-2014,SFN: 2008-1-5,R-R,3/27/87,28,9/11/09,22,4.161,23.5
Madison Bumgarner,P,MLB,San Francisco Giants,MLB-Active,2008-2014,SFN: 2007-1-10,R-L,8/1/89,26,9/8/09,20,4.127,16.2
Zack Wheeler,P,MLB,New York Mets,MLB-Active,2010-2014,SFN: 2009-1-6,R-R,5/30/90,25,,,,
Thomas Neal,OF,MLB,,Free Agent,2006-2014,SFN: 2005-36-1092,R-R,8/17/87,28,,,,
Dan Runzler,P,MLB,Arizona Diamondbacks,Minors,2005-2014,SFN: 2007-9-284,L-L,3/30/85,30,9/4/09,24,2.071,0.5
Tommy Joseph,C,AAA,Gulf Coast Phillies (Rk) >> Philadelphia Phillies,Minors (40),2010-2014,SFN: 2009-2-55,R-R,7/16/91,24,null,null,0,0
Roger Kieschnick,OF,MLB,Los Angeles Angels,Minors,2006-2014,SFN: 2008-3-82,L-R,1/21/87,28,,,,
Ehire Adrianza,SS,MLB,San Francisco Giants,MLB-Active,2008-2014,Not drafted,B-R,8/21/89,26,,,,
Brandon Crawford,SS,MLB,San Francisco Giants,MLB-Active,2006-2014,SFN: 2008-4-117,L-R,1/21/87,28,,,,
Francisco Peguero,OF,MLB,,Free Agent,2008-2014,Not drafted,R-R,6/1/88,27,,,,
