Name,Position,High Level,Current Team.text,Current Status,Play Years,Draft Info.text,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Marco Gonzales,P,MLB,St. Louis Cardinals,MLB-Active,2011-2014,SLN: 2013-1-19,L-L,2/16/92,23,6/25/14,22,0.041,-0.1
Alexander Reyes,P,A,Peoria (A) >> St. Louis Cardinals,Minors,2013-2014,Not drafted,R-R,8/29/94,21,null,null,0,0
Stephen Piscotty,RF-OF,AAA,Memphis (AAA) >> St. Louis Cardinals,Minors,2010-2014,SLN: 2012-1-36,R-R,1/14/91,24,null,null,0,0
Randal Grichuk,OF,MLB,St. Louis Cardinals,MLB-Active,2009-2014,ANA: 2009-1-24,R-R,8/13/91,24,4/28/14,23,0.061,0.6
Rob Kaminsky,P,A,Peoria (A) >> St. Louis Cardinals,Minors,2013-2014,SLN: 2013-1-28,R-L,9/2/94,21,null,null,0,0
Jack Flaherty,P,Rk,Gulf Coast Cardinals (Rk) >> St. Louis Cardinals,Minors,2014-2014,SLN: 2014-1-34,R-R,10/15/95,19,null,null,0,0
Tim Cooney,P,AAA,Memphis (AAA) >> St. Louis Cardinals,Minors,2010-2014,SLN: 2012-3-117,L-L,12/19/90,24,null,null,0,0
Sam Tuivailala,P,MLB,St. Louis Cardinals,MLB-Active,2010-2014,SLN: 2010-3-106,R-R,10/19/92,22,9/9/14,22,0.021,-0.3
Charlie Tilson,OF,AA,Springfield (AA) >> St. Louis Cardinals,Minors,2011-2014,SLN: 2011-2-79,L-L,12/2/92,22,null,null,0,0
Magneuris Sierra,OF,Rk,Gulf Coast Cardinals (Rk) >> St. Louis Cardinals,Minors,2013-2014,Not drafted,L-L,4/7/96,19,null,null,0,0
Oscar Taveras,OF,MLB,St. Louis Cardinals,MLB-Active,2010-2014,Not drafted,L-L,6/19/92,23,5/31/14,22,0.104,-1.1
Carlos Martinez,P,MLB,St. Louis Cardinals,MLB-Active,2011-2014,Not drafted,R-R,9/21/91,23,5/3/13,22,1.073,1.4
Kolten Wong,2B,MLB,St. Louis Cardinals,MLB-Active,2009-2014,SLN: 2011-1-22,L-R,10/10/90,24,8/6/13,23,1.045,1.7
Stephen Piscotty,RF-OF,AAA,Memphis (AAA) >> St. Louis Cardinals,Minors,2010-2014,SLN: 2012-1-36,R-R,1/14/91,24,null,null,0,0
Marco Gonzales,P,MLB,St. Louis Cardinals,MLB-Active,2011-2014,SLN: 2013-1-19,L-L,2/16/92,23,,,,
Tim Cooney,P,AAA,Memphis (AAA) >> St. Louis Cardinals,Minors,2010-2014,SLN: 2012-3-117,L-L,12/19/90,24,null,null,0,0
Alexander Reyes,P,A,Peoria (A) >> St. Louis Cardinals,Minors,2013-2014,Not drafted,R-R,8/29/94,21,null,null,0,0
James Ramsey,OF,AAA,Columbus (AAA) >> Cleveland Indians,Minors,2009-2014,SLN: 2012-1-23,L-R,12/19/89,25,null,null,0,0
Rob Kaminsky,P,A,Peoria (A) >> St. Louis Cardinals,Minors,2013-2014,SLN: 2013-1-28,R-L,9/2/94,21,null,null,0,0
Carson Kelly,3B,A,Peoria (A) >> St. Louis Cardinals,Minors,2012-2014,SLN: 2012-2-86,R-R,7/14/94,21,null,null,0,0
Oscar Taveras,OF,MLB,St. Louis Cardinals,MLB-Active,2010-2014,Not drafted,L-L,6/19/92,23,,,,
Shelby Miller,P,MLB,Atlanta Braves,MLB-Active,2009-2014,SLN: 2009-1-19,R-R,10/10/90,24,9/5/12,22,2.03,2.9
Carlos Martinez,P,MLB,St. Louis Cardinals,MLB-Active,2011-2014,Not drafted,R-R,9/21/91,23,,,,
Trevor Rosenthal,P,MLB,St. Louis Cardinals,MLB-Active,2009-2014,SLN: 2009-21-639,R-R,5/29/90,25,7/18/12,22,2.058,3.5
Kolten Wong,2B,MLB,St. Louis Cardinals,MLB-Active,2009-2014,SLN: 2011-1-22,L-R,10/10/90,24,,,,
Michael Wacha,P,MLB,St. Louis Cardinals,MLB-Active,2010-2014,SLN: 2012-1-19,R-R,7/1/91,24,5/30/13,22,1.062,3
Matt Adams,1B,MLB,St. Louis Cardinals,MLB-Active,2007-2014,SLN: 2009-23-699,R-R,8/31/88,27,5/20/12,24,2.033,3.3
Tyrell Jenkins,P,A+,Atlanta Braves,MLB-Active,2010-2014,SLN: 2010-1-50,R-R,7/20/92,23,null,null,0,0
