Name,Position,High Level,Current Team,Current Status,Play Years,Draft Info,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Joey Gallo,3B,AA,x,Minors,2012-2014,TEX: 2012-1-39,L-R,11/19/93,21,null,null,0,0
Jake Thompson,P,AA,x,Minors,2012-2014,DET: 2012-2-91,R-R,1/31/94,21,null,null,0,0
Jorge Alfaro,C,AA,x,MLB-Active,2011-2014,Not drafted,R-R,6/11/93,22,null,null,0,0
Nomar Mazara,RF-OF,AA,x,Minors,2012-2014,Not drafted,L-L,4/26/95,20,null,null,0,0
Nick Williams,OF,AA,x,Minors,2012-2014,TEX: 2012-2-93,L-L,9/8/93,22,null,null,0,0
Alex Gonzalez,P,AA,x,Minors,2011-2014,TEX: 2013-1-23,R-R,1/15/92,23,null,null,0,0
Luis Sardinas,SS,MLB,x,MLB-Active,2010-2014,Not drafted,B-R,5/16/93,22,4/20/14,21,0.089,0
Ryan Rua,2B,MLB,x,MLB-Active,2011-2014,TEX: 2011-17-534,R-R,3/11/90,25,8/29/14,24,0.031,0.6
Luis Ortiz,P,A,x,Minors,2014-2014,TEX: 2014-1-30,R-R,9/22/95,19,null,null,0,0
Joshua Morgan,SS,A-,x,Minors,2014-2014,TEX: 2014-3-95,R-R,11/16/95,19,null,null,0,0
Rougned Odor,2B,MLB,x,MLB-Active,2011-2014,Not drafted,L-R,2/3/94,21,5/8/14,20,0.144,0.5
Michael Choice,OF,MLB,x,MLB-Active,2008-2014,OAK: 2010-1-10,R-R,11/10/89,25,9/2/13,24,0.164,-2.1
Luke Jackson,P,AAA,x,MLB-Active,2011-2014,TEX: 2010-1-45,R-R,8/24/91,24,null,null,0,0
Travis Demeritte,SS-3B,A,x,Minors,2013-2014,TEX: 2013-1-30,R-R,9/30/94,20,null,null,0,0
Ronald Guzman,1B,A,x,Minors,2012-2014,Not drafted,L-L,10/20/94,20,null,null,0,0
Jurickson Profar,SS-2B,MLB,x,60-day DL,2010-2013,Not drafted,B-R,2/20/93,22,9/2/12,20,1.167,-0.5
Mike Olt,3B,MLB,x,MLB-Active,2008-2014,TEX: 2010-1-49,R-R,8/27/88,27,8/2/12,24,1.03,-1.1
Martin Perez,P,MLB,x,MLB-Active,2008-2014,Not drafted,L-L,4/4/91,24,6/27/12,21,2.038,2.9
Leonys Martin,CF,MLB,x,MLB-Active,2011-2014,Not drafted,L-R,3/6/88,27,9/2/11,24,2.113,5.9
Justin Grimm,P,MLB,x,MLB-Active,2008-2014,TEX: 2010-5-166,R-R,8/16/88,27,6/16/12,24,1.17,1.6
Cody Buckel,P,AA,x,Minors,2010-2014,TEX: 2010-2-72,R-R,6/18/92,23,null,null,0,0
Yu Darvish,P,MLB,x,MLB-Active,2005-2014,Not drafted,R-R,8/16/86,29,4/9/12,26,3,13.9
Neil Ramirez,P,MLB,x,MLB-Active,2008-2014,TEX: 2007-1-44,R-R,5/25/89,26,4/25/14,25,0.158,0.8
Christian Villanueva,3B,AAA,x,Minors (40),2010-2014,Not drafted,R-R,6/19/91,24,null,null,0,0
Tanner Scheppers,P,MLB,Texas Rangers,MLB-Active,2006-2014,TEX:¾2009-1-44,R-R,1/17/87,28,6/7/12,25,2.119,0.6
Robbie Erlin,P,MLB,San Diego Padres,MLB-Active,2009-2014,TEX:¾2009-3-93,L-L,10/8/90,24,4/30/13,23,1.057,1.1
Engel Beltre,CF-OF,MLB,Chicago White Sox,Minors,2007-2014,Not drafted,L-L,11/1/89,25,6/26/13,24,1.077,-0.1
Michael Kirkman,P,MLB,Texas Rangers,Minors,2005-2014,TEX:¾2005-5-159,L-L,9/18/86,28,8/21/10,24,2.079,0.3
Jake Skole,OF,AA,Frisco¾(AA) >> Texas Rangers,Minors,2010-2014,TEX:¾2010-1-15,L-R,1/17/92,23,null,null,0,0
Miguel De Los Santos,P,AA,Huntsville¾(AA) >> Milwaukee Brewers,Restricted List,2007-2012,Not drafted,L-L,7/10/88,27,null,null,0,0
Neftali Feliz,P,MLB,Texas Rangers,MLB-Active,2006-2014,Not drafted,R-R,5/2/88,27,8/3/09,21,4.151,4.9
Justin Smoak,1B,MLB,Toronto Blue Jays,MLB-Active,2006-2014,TEX:¾2008-1-11,B-L,12/5/86,28,4/23/10,23,4.077,-0.2
Kasey Kiker,P,AA,-,-,2006-2012,TEX:¾2006-1-12,L-L,11/19/87,27,null,null,0,0
Robbie Ross,P,MLB,Boston Red Sox,MLB-Active,2009-2014,TEX:¾2008-2-57,L-L,6/24/89,26,4/8/12,23,2.112,2.1
Mitch Moreland,1B,MLB,Texas Rangers,MLB-Active,2005-2014,TEX:¾2007-17-530,L-L,9/6/85,30,7/29/10,25,4.067,1.7
Danny Gutierrez,P,AA,-,-,2006-2014,KCA:¾2005-33-982,R-R,3/8/87,28,null,null,0,0
Wilmer Font,P,MLB,Cincinnati Reds,Minors,2007-2014,Not drafted,R-R,5/24/90,25,9/18/12,22,0.055,-0.1
