Name,Position,High Level,Current Team,Current Status,Play Years,Draft Info,B-T,Born,Age,Debut,Debut Age,SvcTime,WAR
Lucas Giolito,P,A,Auburn (A-) >> Washington Nationals,x,2012-2014,WAS: 2012-1-16,R-R,7/14/94,21,null,null,0,0
Michael Taylor,OF,MLB,Washington Nationals,x,2010-2014,WAS: 2009-6-172,R-R,3/26/91,24,8/12/14,23,0.037,0.1
Reynaldo Lopez,P,A,Hagerstown (A) >> Washington Nationals,x,2012-2014,Not drafted,R-R,1/4/94,21,null,null,0,0
Erick Fedde,P,NCAA,Gulf Coast Nationals (Rk) >> Washington Nationals,x,2012-2014,WAS: 2014-1-18,R-R,2/25/93,22,null,null,0,0
Steven Souza,OF,MLB,Tampa Bay Rays,x,2007-2014,WAS: 2007-3-100,R-R,4/24/89,26,4/13/14,25,0.072,0
A.J. Cole,P,AAA,Washington Nationals,x,2010-2014,WAS: 2010-4-116,R-R,1/5/92,23,null,null,0,0
Wilmer Difo,SS-2B,A+,Washington Nationals,x,2011-2014,Not drafted,R-R,4/2/92,23,null,null,0,0
Drew Ward,3B,A,Hagerstown (A) >> Washington Nationals,x,2013-2014,WAS: 2013-3-105,L-R,11/25/94,20,null,null,0,0
Brian Goodwin,OF,AAA,Washington Nationals,x,2010-2014,WAS: 2011-1-34,L-R,11/2/90,24,null,null,0,0
Nic Pivetta,P,A,Hagerstown (A) >> Washington Nationals,x,2012-2014,WAS: 2013-4-136,R-R,2/14/93,22,null,null,0,0
Matt Skole,1B,AA,Harrisburg (AA) >> Washington Nationals,x,2009-2014,WAS: 2011-5-157,L-R,7/30/89,26,null,null,0,0
Robbie Ray,P,MLB,Arizona Diamondbacks,x,2011-2014,WAS: 2010-12-356,L-L,10/1/91,23,5/6/14,23,0.055,0
Sammy Solis,P,AA,Gulf Coast Nationals (Rk) >> Washington Nationals,x,2008-2014,WAS: 2010-2-51,R-L,8/10/88,27,null,null,0,0
Jake Johansen,P,A,Hagerstown (A) >> Washington Nationals,x,2011-2014,WAS: 2013-2-68,R-R,1/23/91,24,null,null,0,0
Nate Karns,P,MLB,Tampa Bay Rays,x,2007-2014,WAS: 2009-12-352,R-R,11/25/87,27,5/28/13,26,0.033,-0.5
Anthony Rendon,2B,MLB,Washington Nationals,x,2009-2014,WAS: 2011-1-6,R-R,6/6/90,25,4/21/13,23,1.13,8.1
Christian Garcia,P,A-,,x,2012-2013,HOU: 2012-29-879,R-R,9/24/91,23,9/4/12,21,1.031,0.1
Eury Perez,OF,MLB,Atlanta Braves,x,2009-2014,Not drafted,R-R,5/30/90,25,9/1/12,22,0.147,0.1
Matt Purke,P,AA,Washington Nationals,x,2010-2014,WAS: 2011-3-96,L-L,7/17/90,25,null,null,0,0
Bryce Harper,LF,MLB,Washington Nationals,x,2010-2014,WAS: 2010-1-1,L-R,10/16/92,22,4/28/12,20,2.159,9.5
Brad Peacock,P,MLB,Houston Astros,x,2007-2014,WAS: 2006-41-1231,R-R,2/2/88,27,9/6/11,24,1.124,0.3
Alex Meyer,P,AAA,Minnesota Twins,x,2009-2014,WAS: 2011-1-23,R-R,1/3/90,25,null,null,0,0
Derek Norris,C,MLB,San Diego Padres,x,2007-2014,WAS: 2007-4-130,R-R,2/14/89,26,6/21/12,23,2.102,4.9
Steve Lombardozzi,2B,MLB,Pittsburgh Pirates,x,2008-2014,WAS: 2008-19-571,B-R,9/20/88,26,9/6/11,23,2.058,-0.7
Danny Espinosa,2B,MLB,Washington Nationals,x,2006-2014,WAS: 2008-3-87,B-R,4/25/87,28,9/1/10,23,3.113,6.9
Wilson Ramos,C,MLB,Washington Nationals,x,2006-2014,Not drafted,R-R,8/10/87,28,5/2/10,23,4.047,7.6
Cole Kimball,P,MLB,,Free Agent,2004-2014,WAS:æ2006-12-361,R-R,8/1/85,30,5/14/11,26,1.138,0.1
Chris Marrero,1B,MLB,,Free Agent,2006-2014,WAS:æ2006-1-15,R-R,7/2/88,27,8/27/11,23,0.134,-0.9
Stephen Strasburg,P,MLB,Washington Nationals,MLB-Active,2007-2014,WAS:æ2009-1-1,R-R,7/20/88,27,6/8/10,22,4.118,15.2
Drew Storen,P,MLB,Washington Nationals,MLB-Active,2008-2014,WAS:æ2009-1-10,B-R,8/11/87,28,5/17/10,23,4.14,3.3
Ian Desmond,SS,MLB,Washington Nationals,MLB-Active,2004-2014,MON:æ2004-3-84,R-R,9/20/85,29,9/10/09,24,5.027,16.5
Jeff Kobernus,OF,MLB,Washington Nationals,MLB-Active,2007-2014,WAS:æ2009-2-50,R-R,6/30/88,27,5/5/13,25,0.162,-0.1
Justin Maxwell,RF-CF,MLB,San Francisco Giants,Minors,2002-2014,WAS:æ2005-4-114,R-R,11/6/83,31,null,null,0,0
Michael Burgess,OF,AA,Bowieæ(AA) >> Baltimore Orioles,Minors,2007-2014,WAS:æ2007-1-49,L-L,10/20/88,26,null,null,0,0
Destin Hood,OF,AAA,Cleveland Indians,Minors,2008-2014,WAS:æ2008-2-55,R-R,4/3/90,25,null,null,0,0
