Name,Pos,Team,Birthday,Debut,WAR,SvcTime
J.P. Crawford,SS,PHI,1/11/1995,null,0,0
Aaron Nola,RHP,PHI,6/4/1993,null,0,0
Maikel Franco,3B,PHI,8/26/1992,9/2/2014,-0.4,0.027
Yoel Mecias,LHP,PHI,10/11/1993,null,0,0
Jesse Biddle,LHP,PHI,10/22/1991,null,0,0
Deivi Grullon,C,PHI,2/17/1996,null,0,0
Kelly Dugan,OF,PHI,9/18/1990,null,0,0
Carlos Tocci,OF,PHI,8/23/1995,null,0,0
Elniery Garcia,LHP,PHI,12/24/1994,null,0,0
Dylan Cozens,OF,PHI,5/31/1994,null,0,0
Carlos Ruiz,C,PHI,1/22/1979,5/6/2006,21,8.069
Cody Asche,3B,PHI,6/30/1990,7/30/2013,0.2,1.062
Domonic Brown,OF,PHI,9/3/1987,7/28/2010,-1,3.078
Ben Revere,OF,PHI,5/3/1988,9/7/2010,4.2,3.149
Freddy Galvis,SS,PHI,11/14/1989,4/5/2012,-0.1,2.021
Cesar Hernandez,3B,PHI,5/23/1990,5/29/2013,-1,0.154
Darin Ruf,OF,PHI,7/28/1986,9/14/2012,0.3,1.066
David Buchanan,RHP,PHI,5/11/1989,5/24/2014,0.4,0.102
