J.P. Crawford,SS,PHI,1/11/95,null,0,0,20,null
Aaron Nola,RHP,PHI,6/4/93,null,0,0,22,null
Maikel Franco,3B,PHI,8/26/92,9/2/14,-0.4,0.027,23,22
Yoel Mecias,LHP,PHI,10/11/93,null,0,0,21,null
Jesse Biddle,LHP,PHI,10/22/91,null,0,0,23,null
Deivi Grullon,C,PHI,2/17/96,null,0,0,19,null
Kelly Dugan,OF,PHI,9/18/90,null,0,0,24,null
Carlos Tocci,OF,PHI,8/23/95,null,0,0,20,null
Elniery Garcia,LHP,PHI,12/24/94,null,0,0,20,null
Dylan Cozens,OF,PHI,5/31/94,null,0,0,21,null
Carlos Ruiz,C,PHI,1/22/79,5/6/06,21,8.069,36,27
Cody Asche,3B,PHI,6/30/90,7/30/13,0.2,1.062,25,23
Domonic Brown,OF,PHI,9/3/87,7/28/10,-1,3.078,28,23
Ben Revere,OF,PHI,5/3/88,9/7/10,4.2,3.149,27,22
Freddy Galvis,SS,PHI,11/14/89,4/5/12,-0.1,2.021,25,22
Cesar Hernandez,3B,PHI,5/23/90,5/29/13,-1,0.154,25,23
Darin Ruf,OF,PHI,7/28/86,9/14/12,0.3,1.066,29,26
David Buchanan,RHP,PHI,5/11/89,5/24/14,0.4,0.102,26,25
