Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Jared Gayhart,Tigers (A+),24,1.1,20.25,0,3,0,50.00%,0.00%,50.00%,0.333,1.5,0.667,100.00%,0,-1.11,1.11,sa454790
Ron Mahay,Cardinals (A+),40,2,18,0,4,0,44.40%,0.00%,44.40%,0.222,1,0.4,50.00%,0,-0.61,0.61,290
Stephen Strasburg,Nationals (A+),22,3,15,0,5,0,41.70%,0.00%,41.70%,0.167,0.67,0.286,100.00%,0,-0.1,0.1,10131
Kenley Jansen,Dodgers (A+),23,2,18,0,4,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.05,0.05,3096
Joe Thatcher,Padres (A+),29,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.05,0.05,4620
Neil Ramirez,Rangers (A+),22,4.2,17.36,1.93,9,0,52.90%,5.90%,47.10%,0.063,0.43,0.143,100.00%,0,0.01,-0.01,7677
Henry Barrera,Royals (A+),25,6,16.5,1.5,11,0,44.00%,4.00%,40.00%,0.25,1.17,0.462,71.40%,3,0.06,2.94,sa272552
Chad Rodgers,Braves (A+),23,0.2,13.5,0,1,0,50.00%,0.00%,50.00%,0,0,0,100.00%,0,0.23,-0.23,sa326689
Jason Van Skike,White Sox (A+),22,2,13.5,0,3,0,30.00%,0.00%,30.00%,0.1,0.5,0.143,0.00%,0,0.23,-0.23,sa579046
Zack Greinke,Brewers (A+),27,3,12,0,4,0,40.00%,0.00%,40.00%,0.1,0.33,0.167,100.00%,0,0.72,-0.72,1943
Jordan Ellis,Phillies (A+),25,8.2,14.54,2.08,7,0,45.20%,6.50%,38.70%,0.138,0.69,0.267,100.00%,0,0.85,-0.85,sa455282
Deryk Hooker,Cardinals (A+),22,4,11.25,0,5,0,33.30%,0.00%,33.30%,0.2,0.75,0.3,100.00%,0,0.89,-0.89,sa389288
Jose Ascanio,Pirates (A+),26,3.2,14.73,2.45,6,0,35.30%,5.90%,29.40%,0.25,1.36,0.4,20.00%,9.82,0.93,8.88,3951
Chris Gloor,Giants (A+),24,2.1,19.29,3.86,5,0,62.50%,12.50%,50.00%,0.143,0.86,0.5,100.00%,0,0.95,-0.95,sa501949
Kevin Chapman,Royals (A+),23,22.1,16.12,2.82,5.71,0.4,40.40%,7.10%,33.30%,0.261,1.39,0.451,57.40%,4.84,1.17,3.67,11240
Aaron Harang,Padres (A+),33,4,15.75,2.25,7,0,41.20%,5.90%,35.30%,0.313,1.5,0.556,50.00%,6.75,1.2,5.55,1451
Cole Mccurry,Orioles (A+),25,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.23,-1.23,sa396259
Ryan Berry,Orioles (A+),22,4,9,0,4,0,26.70%,0.00%,26.70%,0.2,0.75,0.273,100.00%,0,1.23,-1.23,sa501544
Cody Allen,Indians (A+),22,3,9,0,3,0,30.00%,0.00%,30.00%,0.1,0.33,0.143,100.00%,0,1.23,-1.23,12183
Andrew Stueve,Royals (A+),22,3,9,0,3,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.23,-1.23,sa598831
Cesar Cabral,Red Sox (A+),22,16.2,12.96,2.7,4.8,0,33.80%,7.00%,26.80%,0.227,1.2,0.357,75.00%,1.62,1.25,0.37,6741
Daniel Sattler,Angels (A+),27,3,12,0,4,0,33.30%,0.00%,33.30%,0.25,1,0.375,100.00%,0,1.28,-1.28,sa393249
Brad Halsey,Yankees (A+),30,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.39,-1.39,4760
Evan Meek,Pirates (A+),28,2,9,0,2,0,28.60%,0.00%,28.60%,0.143,0.5,0.2,100.00%,0,1.39,-1.39,5109
Joe Beimel,Pirates (A+),34,2,9,0,2,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.39,-1.39,979
Omar Luna,Rays (A+),24,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.39,-1.39,sa392852
