Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Miguel Sano,Twins (A+),20,243,11.90%,25.10%,0.48,0.33,0.424,0.655,1.079,0.325,7,0.397,0.9,55,27.9,0.477,203,sa548088
Garin Cecchini,Red Sox (A+),22,262,16.40%,13.00%,1.26,0.35,0.469,0.547,1.016,0.196,7.1,0.4,-0.1,59,27,0.464,186,11608
Ji-Man Choi,Mariners (A+),22,211,12.80%,15.60%,0.82,0.337,0.427,0.619,1.045,0.282,4.2,0.38,-0.5,48,19.7,0.445,169,sa549626
Ryan Court,Diamondbacks (A+),25,171,14.00%,21.60%,0.65,0.326,0.433,0.61,1.043,0.284,6.2,0.388,0.4,39,16,0.445,169,sa579055
Zach Borenstein,Angels (A+),22,465,9.20%,18.90%,0.49,0.337,0.403,0.631,1.034,0.295,5.2,0.366,-1.4,103,39.8,0.436,163,sa599252
Devon Travis,Tigers (A+),22,237,7.60%,13.50%,0.56,0.35,0.401,0.561,0.962,0.21,6.2,0.371,1.1,46,19.5,0.434,174,sa578013
Mookie Betts,Red Sox (A+),20,211,10.90%,8.10%,1.35,0.341,0.414,0.551,0.966,0.211,7.6,0.346,3,42,16.7,0.433,166,13611
Travis Taijeron,Mets (A+),24,222,10.40%,24.30%,0.43,0.303,0.396,0.564,0.96,0.261,3.8,0.375,-0.3,43,17.9,0.432,172,sa598284
Kelly Dugan,Phillies (A+),22,247,9.70%,24.30%,0.4,0.318,0.401,0.539,0.94,0.221,4.5,0.401,-1.1,47,19.3,0.428,170,sa500838
Jake Lamb,Diamondbacks (A+),22,283,17.00%,24.70%,0.69,0.303,0.424,0.558,0.982,0.255,1.4,0.38,0,60,21.3,0.424,156,13329
Mike Ohlman,Orioles (A+),22,424,13.20%,21.90%,0.6,0.313,0.41,0.524,0.934,0.211,5.3,0.389,0.8,81,30.2,0.423,159,sa501614
Chris Taylor,Mariners (A+),22,319,13.80%,19.40%,0.71,0.335,0.426,0.524,0.95,0.19,8.4,0.407,3,65,21.8,0.416,151,13757
Robert Kral,Padres (A+),24,340,18.50%,15.00%,1.24,0.286,0.426,0.528,0.954,0.242,5.6,0.308,0.4,69,23.2,0.416,151,sa526396
Maikel Franco,Phillies (A+),20,289,6.90%,13.50%,0.51,0.299,0.349,0.576,0.925,0.277,2.2,0.297,-0.1,51,19.2,0.413,159,12179
Ryan Mount,Dodgers (A+),26,182,8.20%,14.30%,0.58,0.333,0.39,0.564,0.954,0.23,3.3,0.361,-1,36,11.6,0.411,147,sa295152
Matt Duffy,Astros (A+),24,424,7.10%,18.90%,0.38,0.323,0.397,0.553,0.95,0.229,4.2,0.366,-1,84,26.7,0.41,147,sa526874
Andy Burns,Blue Jays (A+),22,282,8.90%,13.50%,0.66,0.327,0.383,0.524,0.907,0.198,7.8,0.349,0.5,49,17.5,0.407,156,sa455489
Ryan Brett,Rays (A+),21,225,6.70%,12.00%,0.56,0.34,0.396,0.49,0.886,0.15,8.5,0.377,1.5,39,13.9,0.407,155,sa548242
Byron Buxton,Twins (A+),19,253,12.60%,19.40%,0.65,0.326,0.415,0.472,0.887,0.147,7.9,0.404,1.3,44,15.6,0.406,155,sa657851
Stefan Welch,Red Sox (A+),24,325,13.80%,20.00%,0.69,0.292,0.409,0.476,0.885,0.184,2.9,0.349,-0.4,58,18.9,0.406,148,sa392373
Robert Hefflinger,Braves (A+),23,307,7.20%,23.10%,0.31,0.286,0.339,0.579,0.917,0.293,2.8,0.309,-0.3,55,17.8,0.406,148,sa501502
Eddie Rosario,Twins (A+),21,231,7.40%,12.60%,0.59,0.329,0.377,0.527,0.903,0.198,5.9,0.35,-1.9,40,13.8,0.404,153,sa548299
Marquez Smith,Reds (A+),28,217,12.00%,15.70%,0.76,0.301,0.406,0.514,0.919,0.213,4.9,0.331,-0.1,41,12,0.401,141,sa388379
Angel Morales,Twins (A+),23,234,8.50%,27.40%,0.31,0.297,0.364,0.525,0.889,0.228,6.2,0.396,-1.5,39,13.3,0.4,151,sa390382
