Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Chris Davis,Rangers (AAA),25,210,5.20%,27.60%,0.19,0.368,0.405,0.824,1.229,0.456,3.8,0.412,0.2,56,26.3,0.495,189,9272
Eric Hosmer,Royals (AAA),21,118,16.10%,13.60%,1.19,0.439,0.525,0.582,1.107,0.143,4.2,0.5,0.6,31,14.5,0.493,187,3516
Wily Mo Pena,- - -,29,332,10.20%,18.40%,0.56,0.358,0.44,0.712,1.152,0.354,5.3,0.384,0,84,37,0.48,179,344
Jose Lopez,Marlins (AAA),27,135,4.40%,8.90%,0.5,0.4,0.43,0.688,1.118,0.288,3.9,0.387,0.4,33,14,0.472,174,3114
Kyle Blanks,Padres (AAA),24,152,10.50%,24.30%,0.43,0.351,0.421,0.716,1.137,0.366,5.5,0.414,-0.5,37,15.7,0.471,173,49
Sean Burroughs,Diamondbacks (AAA),30,110,6.40%,7.30%,0.88,0.412,0.45,0.618,1.067,0.206,4.8,0.435,-1,26,10.6,0.464,169,1021
Josh Fields,Rockies (AAA),28,203,9.90%,18.20%,0.54,0.365,0.429,0.674,1.103,0.309,7.1,0.406,1.4,48,19.3,0.462,168,7490
Scott Sizemore,- - -,26,135,17.80%,17.00%,1.04,0.368,0.485,0.557,1.042,0.189,6.1,0.439,0,30,13.6,0.461,185,2881
Brett Lawrie,Blue Jays (AAA),21,329,7.90%,16.10%,0.49,0.353,0.415,0.661,1.076,0.308,7.9,0.383,1.6,76,29.2,0.455,163,5247
Eliezer Alfonzo,Rockies (AAA),32,101,2.00%,15.80%,0.13,0.319,0.347,0.777,1.123,0.457,4.9,0.265,-0.1,23,8.5,0.45,160,2331
Kyle Seager,Mariners (AAA),23,117,9.40%,10.30%,0.92,0.387,0.444,0.585,1.029,0.198,6.8,0.418,0.1,26,9.8,0.45,160,9785
Mike Carp,Mariners (AAA),25,286,9.80%,17.50%,0.56,0.347,0.414,0.653,1.067,0.307,4,0.361,0.2,64,23.8,0.449,159,7480
Tim Federowicz,Dodgers (AAA),23,102,14.70%,19.60%,0.75,0.325,0.431,0.627,1.058,0.301,1.4,0.356,0,23,8.4,0.448,158,8609
Bryan Lahair,Cubs (AAA),28,523,11.50%,21.20%,0.54,0.331,0.405,0.664,1.07,0.333,2.6,0.361,0.4,114,40.3,0.442,155,5462
Denis Phipps,Reds (AAA),25,173,7.50%,23.70%,0.32,0.38,0.428,0.576,1.004,0.196,6.2,0.487,0.3,36,15.6,0.441,178,6968
Eric Young,Rockies (AAA),26,275,14.20%,13.10%,1.08,0.363,0.454,0.552,1.005,0.188,8.9,0.416,2.9,59,20.7,0.44,153,7158
Anthony Rizzo,Padres (AAA),21,413,10.40%,21.50%,0.48,0.331,0.404,0.652,1.056,0.32,3.7,0.369,-1.6,88,30.2,0.438,152,3473
Trevor Plouffe,Twins (AAA),25,220,9.50%,17.70%,0.54,0.313,0.384,0.635,1.019,0.323,5.4,0.319,0.1,44,19.1,0.437,175,7462
Lucas Duda,Mets (AAA),25,157,14.60%,17.20%,0.85,0.302,0.414,0.597,1.011,0.295,1,0.309,-0.1,32,13.6,0.437,175,2502
Cody Ransom,Diamondbacks (AAA),35,432,12.70%,21.80%,0.59,0.317,0.405,0.629,1.034,0.312,6,0.358,0.5,92,31,0.436,151,1126
Ryan Langerhans,- - -,31,426,17.80%,22.10%,0.81,0.311,0.437,0.573,1.009,0.262,4.6,0.368,-1.3,90,30.4,0.436,151,98
Eric Thames,Blue Jays (AAA),24,241,9.50%,17.00%,0.56,0.352,0.423,0.61,1.033,0.257,6.4,0.406,0,51,17.1,0.435,150,3711
George Kottaras,Brewers (AAA),28,118,13.60%,24.60%,0.55,0.343,0.432,0.559,0.991,0.216,3.7,0.449,-0.5,25,8.2,0.434,149,5506
Justin Christian,Giants (AAA),31,280,12.50%,11.10%,1.13,0.336,0.427,0.571,0.998,0.235,8.8,0.352,5.7,59,19.3,0.433,149,8297
Bryan Petersen,Marlins (AAA),25,286,12.60%,14.30%,0.88,0.351,0.434,0.569,1.002,0.218,3.2,0.386,-1.3,60,19.7,0.433,149,2567
Ryan Lavarnway,Red Sox (AAA),23,264,12.10%,22.70%,0.53,0.295,0.39,0.612,1.002,0.317,2,0.327,-0.4,52,22,0.432,172,8879
Logan Forsythe,Padres (AAA),24,218,15.10%,22.90%,0.66,0.326,0.445,0.528,0.973,0.202,4.5,0.413,-0.4,46,14.8,0.432,148,7185
