Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Vinnie Catricala,Mariners (AA),22,276,8.70%,17.00%,0.51,0.347,0.42,0.632,1.052,0.285,6.9,0.389,1.5,61,26.9,0.457,180,sa501575
Brent Clevlen,Phillies (AA),27,134,15.70%,25.40%,0.62,0.336,0.44,0.602,1.042,0.265,4.5,0.438,0.1,30,13.7,0.456,186,4863
Paul Goldschmidt,Diamondbacks (AA),23,457,17.90%,20.10%,0.89,0.306,0.435,0.626,1.061,0.32,5.2,0.331,0.8,100,43.8,0.455,178,9218
Jermaine Mitchell,Athletics (AA),26,360,15.00%,18.10%,0.83,0.355,0.453,0.589,1.042,0.234,6.4,0.426,-3.3,82,35.7,0.454,177,sa326749
Ty Wright,Cubs (AA),26,141,16.30%,14.20%,1.15,0.333,0.44,0.588,1.027,0.254,1.6,0.352,-0.3,30,13,0.45,176,sa388992
Vince Belnome,Padres (AA),23,318,14.80%,18.60%,0.8,0.333,0.432,0.603,1.035,0.27,3,0.373,-2.5,71,30.1,0.448,174,8126
James Darnell,Padres (AA),24,346,15.00%,13.90%,1.08,0.333,0.434,0.604,1.038,0.271,3.5,0.348,-0.3,76,32,0.446,172,9060
Scott Van Slyke,Dodgers (AA),24,529,12.30%,18.90%,0.65,0.346,0.425,0.593,1.018,0.247,4.2,0.404,-0.6,111,46.2,0.444,171,4365
Leonys Martin,Rangers (AA),23,135,11.10%,5.90%,1.88,0.348,0.435,0.571,1.007,0.223,7.3,0.347,-1.7,29,11.7,0.439,168,11846
Eric Fryer,Pirates (AA),25,134,11.90%,15.70%,0.76,0.345,0.427,0.549,0.976,0.204,6,0.386,0.2,27,11.2,0.432,170,8145
Josh Satin,Mets (AA),26,404,14.10%,22.50%,0.63,0.325,0.423,0.538,0.962,0.213,3.5,0.411,-0.5,80,31.6,0.425,165,6788
Mike Trout,Angels (AA),19,412,10.90%,18.40%,0.59,0.326,0.414,0.544,0.958,0.218,8.7,0.39,1.9,82,29.5,0.421,156,10155
J.D. Martinez,Astros (AA),23,370,11.40%,14.90%,0.76,0.338,0.414,0.546,0.959,0.208,2.8,0.367,-0.1,73,25.9,0.419,155,6184
Jose Altuve,Astros (AA),21,153,4.60%,9.20%,0.5,0.361,0.388,0.569,0.958,0.208,5.9,0.373,-1.3,30,10.5,0.417,153,5417
Alex Castellanos,- - -,24,534,7.30%,22.10%,0.33,0.32,0.386,0.573,0.958,0.253,7.8,0.381,1.8,103,35.1,0.415,152,7223
Luis Flores,Cubs (AA),24,121,11.60%,13.20%,0.88,0.275,0.372,0.578,0.95,0.304,3.7,0.259,0.1,22,7.5,0.413,151,sa454795
Bill Rhinehart,- - -,26,460,12.20%,19.30%,0.63,0.284,0.377,0.565,0.942,0.281,3.5,0.296,-0.4,85,29.5,0.41,153,sa389695
Andy Gonzalez,Brewers (AA),29,179,17.30%,16.80%,1.03,0.306,0.43,0.449,0.879,0.143,1.1,0.368,0.1,32,9.9,0.404,145,3669
Steve Susdorf,Phillies (AA),25,272,9.20%,17.60%,0.52,0.339,0.406,0.496,0.902,0.157,4.8,0.402,0.7,49,16.5,0.403,151,8587
Luis Jimenez,Mariners (AA),29,120,15.00%,14.20%,1.06,0.317,0.417,0.485,0.902,0.168,5.2,0.346,0.5,21,6.5,0.403,144,2602
Travis D'Arnaud,Blue Jays (AA),22,466,7.10%,21.50%,0.33,0.311,0.371,0.542,0.914,0.231,3.7,0.365,-0.1,84,28,0.403,150,7739
Andy Parrino,Padres (AA),25,179,12.30%,22.30%,0.55,0.303,0.388,0.539,0.927,0.237,4.8,0.349,0,33,10,0.402,144,3972
Ryan Flaherty,Cubs (AA),24,344,11.60%,16.00%,0.73,0.305,0.384,0.523,0.907,0.219,3.8,0.332,-1.6,60,18.2,0.402,143,7888
Daryle Ward,Diamondbacks (AA),36,110,20.00%,8.20%,2.44,0.318,0.445,0.471,0.916,0.153,2.7,0.325,0.3,19,5.8,0.402,143,579
Juan Lagares,Mets (AA),22,170,2.90%,17.10%,0.17,0.37,0.391,0.512,0.903,0.142,7.4,0.439,1.1,30,10,0.401,149,5384
Wes Timmons,Athletics (AA),31,170,4.70%,6.50%,0.73,0.365,0.402,0.5,0.902,0.135,4.7,0.366,1.3,31,9.4,0.401,143,sa201757
Michel Hernandez,Indians (AA),32,125,17.60%,10.40%,1.69,0.323,0.448,0.434,0.882,0.111,1.2,0.356,0,22,7.3,0.401,149,1835
Luke Montz,Marlins (AA),27,483,15.30%,19.70%,0.78,0.273,0.391,0.509,0.9,0.235,3.8,0.302,1.9,83,24,0.398,141,6601
Ernesto Mejia,Braves (AA),25,573,10.10%,27.20%,0.37,0.297,0.375,0.531,0.906,0.234,3.1,0.377,-0.2,99,28.5,0.398,141,sa295188
Matt Rizzotti,Phillies (AA),25,587,13.50%,21.30%,0.63,0.295,0.392,0.511,0.903,0.216,2.9,0.346,0.3,103,32.9,0.398,147,sa389429
