Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Joseph Bonfe,Mets (AA),25,0.1,27,0,1,0,50.00%,0.00%,50.00%,0.5,3,1,100.00%,0,-2.68,2.68,sa502086
Kelvin Herrera,Royals (AA),23,2,22.5,0,5,0,71.40%,0.00%,71.40%,0.143,0.5,0.5,100.00%,0,-1.94,1.94,6033
John Stilson,Blue Jays (AA),22,2.1,23.14,0,6,0,60.00%,0.00%,60.00%,0.3,1.29,0.75,66.70%,3.86,-1.82,5.68,sa502049
Chang-Yong Lim,Cubs (AA),37,1,18,0,2,0,50.00%,0.00%,50.00%,0.25,1,0.5,100.00%,0,-1.09,1.09,14445
Robert Coello,Angels (AA),28,1,18,0,2,0,66.70%,0.00%,66.70%,0,0,0,100.00%,0,-0.94,0.94,1149
Jason Grilli,Pirates (AA),36,2,18,0,4,0,44.40%,0.00%,44.40%,0.222,1,0.4,100.00%,0,-0.68,0.68,521
Jared Hughes,Pirates (AA),27,2,18,0,4,0,57.10%,0.00%,57.10%,0.143,0.5,0.333,100.00%,0,-0.68,0.68,9325
Jeff Beliveau,Rays (AA),26,2,22.5,4.5,5,0,71.40%,14.30%,57.10%,0,0.5,0,100.00%,0,-0.59,0.59,8504
Micah Owings,Brewers (AA),30,6,16.5,1.5,11,0,52.40%,4.80%,47.60%,0.15,0.67,0.333,100.00%,0,-0.25,0.25,4253
Adam Liberatore,Rays (AA),26,2,13.5,0,3,0,42.90%,0.00%,42.90%,0.143,0.5,0.25,100.00%,0,-0.09,0.09,sa549498
Cody Winiarski,White Sox (AA),23,11,14.73,1.64,9,0,46.20%,5.10%,41.00%,0.135,0.64,0.263,100.00%,0,0.19,-0.19,sa599873
Curtis Partch,Reds (AA),26,8.1,15.12,2.16,7,0,43.80%,6.30%,37.50%,0.2,0.96,0.375,75.00%,2.16,0.27,1.89,1333
Jake Westbrook,Cardinals (AA),35,3.2,12.27,0,5,0,31.30%,0.00%,31.30%,0.375,1.64,0.546,83.30%,2.45,0.33,2.13,412
Chaz Roe,Diamondbacks (AA),26,2.1,11.57,0,3,0,30.00%,0.00%,30.00%,0.2,0.86,0.286,50.00%,0,0.34,-0.34,9866
Colt Hynes,Padres (AA),28,12.1,11.68,0,16,0,36.40%,0.00%,36.40%,0.227,0.81,0.357,90.00%,0.73,0.46,0.27,7560
Kelvin De La Cruz,Dodgers (AA),24,5,10.8,0,6,0,31.60%,0.00%,31.60%,0.211,0.8,0.308,75.00%,0,0.51,-0.51,sa328950
Ruben Mejia,Padres (AA),21,2,18,4.5,4,0,44.40%,11.10%,33.30%,0.25,1.5,0.5,100.00%,0,0.56,-0.56,sa507282
Brady Rodgers,Astros (AA),22,5,10.8,0,6,0,28.60%,0.00%,28.60%,0.238,1,0.333,100.00%,0,0.66,-0.66,sa503350
Raudel Lazo,Marlins (AA),24,7,11.57,1.29,9,0,36.00%,4.00%,32.00%,0.125,0.57,0.2,100.00%,0,0.77,-0.77,sa635432
Lisalverto Bonilla,Rangers (AA),23,30.1,14.84,2.67,5.56,0,42.70%,7.70%,35.00%,0.151,0.82,0.286,96.30%,0.3,0.85,-0.55,11266
Yohan Pino,Reds (AA),29,11,9,0,11,0,31.40%,0.00%,31.40%,0.086,0.27,0.125,100.00%,0,0.91,-0.91,6955
David Herbek,White Sox (AA),24,1,9,0,1,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,0.91,-0.91,sa526193
Nick Wittgren,Marlins (AA),22,4,9,0,4,0,30.80%,0.00%,30.80%,0,0,0,100.00%,0,0.91,-0.91,sa621793
Andrew Triggs,Royals (AA),24,6.2,13.5,2.7,5,0,41.70%,8.30%,33.30%,0.091,0.6,0.167,100.00%,0,0.96,-0.96,sa549679
Joel Carreno,Blue Jays (AA),26,27.1,14.49,2.63,5.5,0,42.70%,7.80%,35.00%,0.126,0.73,0.235,60.00%,1.65,0.98,0.66,2746
Joakim Soria,Rangers (AA),29,4,9,0,4,0,33.30%,0.00%,33.30%,0,0,0,100.00%,0,1.06,-1.06,6941
Henderson Alvarez,Marlins (AA),23,14.1,8.16,0,13,0,27.10%,0.00%,27.10%,0.104,0.35,0.143,100.00%,0,1.1,-1.1,5669
Jonas Dufek,Astros (AA),25,19.1,9.31,0.47,20,0,29.40%,1.50%,27.90%,0.209,0.78,0.298,86.70%,0.47,1.14,-0.68,sa578908
Armando Rivero,Cubs (AA),25,8.2,12.46,3.12,4,0,32.40%,8.10%,24.30%,0.235,1.27,0.364,81.80%,2.08,1.18,0.9,sa739701
Zach Mcallister,Indians (AA),25,3.1,13.5,2.7,5,0,33.30%,6.70%,26.70%,0.286,1.5,0.444,60.00%,5.4,1.22,4.18,2895
Jose Dominguez,Dodgers (AA),22,17.1,14.54,4.15,3.5,0,41.20%,11.80%,29.40%,0.136,0.92,0.258,70.60%,2.6,1.24,1.36,11571
Richard Mirowski,Nationals (AA),24,20.2,12.63,1.74,7.25,0,34.90%,4.80%,30.10%,0.192,0.92,0.306,70.00%,2.61,1.24,1.37,sa598781
Bill Bray,Nationals (AA),30,4.1,12.46,2.08,6,0,40.00%,6.70%,33.30%,0.143,0.69,0.25,100.00%,0,1.25,-1.25,8538
Tim Alderson,Pirates (AA),24,13.2,11.2,1.32,8.5,0,36.20%,4.30%,31.90%,0.089,0.44,0.143,50.00%,1.32,1.28,0.04,sa389899
Ryan Verdugo,Royals (AA),26,9,8,0,8,0,25.80%,0.00%,25.80%,0.161,0.56,0.217,100.00%,0,1.28,-1.28,9154
Luis Cruz,Astros (AA),22,17,11.12,2.12,5.25,0,36.20%,6.90%,29.30%,0.093,0.53,0.152,88.90%,0.53,1.29,-0.76,sa454687
Scott Atchison,Mets (AA),37,4,9,0,4,0,30.80%,0.00%,30.80%,0.154,0.5,0.222,100.00%,0,1.32,-1.32,2642
Keith Butler,Cardinals (AA),24,13.2,13.83,1.32,10.5,0.66,41.20%,3.90%,37.30%,0.163,0.73,0.259,100.00%,0.66,1.37,-0.71,10080
Nate Samson,Cubs (AA),25,1.1,6.75,0,1,0,16.70%,0.00%,16.70%,0.333,1.5,0.4,100.00%,0,1.41,-1.41,sa331346
Caleb Smith,Yankees (AA),21,3.2,12.27,2.45,5,0,31.30%,6.30%,25.00%,0.2,1.09,0.3,75.00%,2.45,1.42,1.04,sa738884
Drew Hutchison,Blue Jays (AA),22,7.2,11.74,2.35,5,0,31.30%,6.30%,25.00%,0.2,1.04,0.3,37.50%,4.7,1.5,3.2,10732
Manny Parra,Reds (AA),30,5,9,1.8,5,0,27.80%,5.60%,22.20%,0.177,0.8,0.25,100.00%,0,1.51,-1.51,4279
Severino Gonzalez,Phillies (AA),20,6.2,8.1,0,6,0,23.10%,0.00%,23.10%,0.308,1.2,0.4,75.00%,2.7,1.52,1.18,sa596363
Jeremy Berg,Angels (AA),26,2,13.5,4.5,3,0,30.00%,10.00%,20.00%,0.333,2,0.5,50.00%,9,1.56,7.44,sa510226
Danny Salazar,Indians (AA),23,33.2,13.63,2.67,5.1,0.27,38.40%,7.50%,30.80%,0.22,1.1,0.366,75.80%,2.67,1.57,1.1,5867
Brent Leach,Brewers (AA),30,5.1,8.44,1.69,5,0,25.00%,5.00%,20.00%,0.316,1.31,0.429,100.00%,0,1.6,-1.6,4576
Chris Martin,Red Sox (AA),27,21,11.57,2.57,4.5,0,36.50%,8.10%,28.40%,0.132,0.71,0.22,100.00%,0,1.61,-1.61,11847
Jharel Cotton,Dodgers (AA),21,10,9.9,2.7,3.67,0,22.90%,6.30%,16.70%,0.333,1.8,0.441,33.30%,8.1,1.61,6.49,sa599378
Carson Smith,Mariners (AA),23,50,12.78,3.06,4.18,0.18,35.00%,8.40%,26.60%,0.182,1,0.294,80.20%,1.8,1.65,0.15,13172
Josh Fields,Astros (AA),27,6,6,0,4,0,16.70%,0.00%,16.70%,0.292,1.17,0.35,71.40%,3,1.72,1.28,5070
