Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Jerry Sands,Dodgers (A),22,287,13.90%,21.30%,0.66,0.333,0.432,0.646,1.078,0.313,6.7,0.382,1.9,67,31.3,0.469,188,4016
J.D. Martinez,Astros (A),22,393,8.40%,14.00%,0.6,0.362,0.433,0.598,1.03,0.236,5.7,0.398,0.6,89,41.7,0.459,189,6184
Darin Ruf,Phillies (A),23,141,14.90%,16.30%,0.91,0.33,0.443,0.548,0.991,0.217,6.2,0.382,-0.2,30,13.4,0.445,180,9929
Mike Trout,Angels (A),18,368,12.50%,14.10%,0.88,0.362,0.454,0.526,0.979,0.163,9.1,0.42,5,79,33.2,0.445,173,10155
Tyler Townsend,Orioles (A),22,128,7.00%,14.10%,0.5,0.342,0.398,0.556,0.954,0.214,4,0.385,-0.4,26,10.4,0.428,168,sa501202
Blake Ochoa,Mariners (A),24,135,17.00%,17.00%,1,0.279,0.397,0.577,0.974,0.298,5.4,0.273,0.4,27,10.1,0.426,160,sa295204
Corey Jones,Tigers (A),22,226,7.50%,11.90%,0.63,0.36,0.45,0.46,0.911,0.101,2.7,0.417,0.2,45,16.8,0.425,160,sa546893
Kentrail Davis,Brewers (A),22,290,10.70%,12.40%,0.86,0.335,0.421,0.518,0.939,0.184,6,0.374,0.1,57,21.2,0.424,159,sa390671
Jared Clark,Rockies (A),24,471,16.10%,24.00%,0.67,0.299,0.412,0.541,0.953,0.241,3.1,0.354,0.4,93,36.7,0.423,165,sa389935
Daniel Butler,Red Sox (A),23,244,8.20%,18.00%,0.45,0.327,0.406,0.523,0.929,0.196,3.8,0.388,0,48,18.4,0.42,163,9968
Jason Hagerty,Padres (A),22,534,16.50%,19.50%,0.85,0.302,0.423,0.494,0.917,0.193,3.5,0.363,-0.1,103,36.8,0.418,155,sa501451
Chris Mcguiness,Red Sox (A),22,341,15.50%,17.30%,0.9,0.298,0.416,0.504,0.92,0.206,2.4,0.34,-0.8,66,24.7,0.416,161,9423
Henry Contreras,Mariners (A),24,131,12.20%,18.30%,0.67,0.333,0.435,0.463,0.898,0.13,2.4,0.405,0,25,8.7,0.416,154,sa455238
Wil Myers,Royals (A),19,294,16.30%,18.70%,0.87,0.289,0.408,0.5,0.908,0.211,4.8,0.335,0.7,56,19.1,0.413,152,10047
Vince Difazio,Rangers (A),24,166,13.90%,18.10%,0.77,0.283,0.392,0.536,0.928,0.254,2.9,0.297,0.2,31,11.5,0.411,158,sa501657
Rainel Rosario,Cardinals (A),21,168,15.50%,22.00%,0.7,0.255,0.381,0.533,0.914,0.277,6.6,0.295,-0.1,31,10.1,0.407,148,sa396238
Brad Mcelroy,Blue Jays (A),24,218,9.60%,15.60%,0.62,0.33,0.404,0.495,0.899,0.165,8,0.385,1.9,40,13,0.407,148,sa454908
Jeff Corsaletti,Marlins (A),27,101,17.80%,12.90%,1.38,0.301,0.426,0.47,0.896,0.169,6.2,0.328,0.8,19,6.6,0.406,154,sa294438
